Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1717220137122,1,20.77298935544039,26.9,-16.590008598827843,-0.08967572215582618,185,92
1717220818614,2,26.991690613637367,34.8,-50.490473966658925,-0.14893945122908236,339,196
1717221361372,3,34.55458826485631,28.5,-30.358053329976283,-0.11243723455546771,270,157
1717222072945,4,28.75514886657693,37.1,-67.2094485106012,-0.18985719918248928,354,231
1717223077880,5,37.03617825198427,42.5,-85.41865727307668,-0.17083731454615336,500,253
1717223735314,6,42.281277599172626,28.8,-95.31489117423683,-0.2914828476276356,327,278
1717224316333,7,28.907839652303352,34.0,-24.585569922065638,-0.08507117620091915,289,124
1717224949478,8,33.94708764698056,27.0,-61.38128804467081,-0.19486123188784385,315,266
1717225612797,9,27.187103353367817,37.6,-88.85705402208808,-0.26926380006693357,330,281
1717226008696,10,37.60693661790299,31.9,-16.315292954094584,-0.08281874595987099,197,99
1717226740326,11,31.738477233806854,26.3,-71.68118642866565,-0.19692633634248807,364,315
1717227518219,12,26.467652895459068,36.7,-87.95679456812135,-0.2272785389357141,387,272
1717228523339,13,36.52014504681087,42.2,-70.06168032842741,-0.14012336065685482,500,229
1717229116191,14,41.80821086195608,32.2,-41.083677840363514,-0.13926670454360512,295,154
1717230121344,15,32.25897893505838,44.4,-190.83713868766597,-0.38167427737533194,500,464
1717230620002,16,44.252321168446855,31.7,-61.14272739050827,-0.2465432556068882,248,199
1717231625260,17,31.669871123906788,42.9,-149.90154115920558,-0.29980308231841113,500,378
1717232630132,18,42.939615546309994,34.8,-35.46030246520063,-0.07092060493040125,500,107
1717233307527,19,35.02558379424768,40.5,-46.675294420627885,-0.13850235733124003,337,198
1717234312704,20,40.471265305456825,28.0,-97.18104068358532,-0.19436208136717065,500,279
1717235317984,21,28.290115702363607,40.2,-136.30908978083326,-0.2726181795616665,500,322
1717236322888,22,39.899254291039824,44.9,-73.7601994883064,-0.1475203989766128,500,280
1717236958312,23,44.68087821718741,30.1,-94.32890901570381,-0.2985092057458981,316,267
1717237963486,24,30.081179010801744,25.1,-147.51066851383328,-0.2950213370276666,500,
1717238743653,25,26.313129953083894,34.6,-58.04816446631714,-0.14960867130494107,388,198
1717239748806,26,34.813138750524274,26.2,-135.11992912213347,-0.27023985824426694,500,435
1717240556896,27,26.53194526212647,40.3,-145.6408501718765,-0.36229067206934457,402,353
1717241561877,28,40.03405031421597,26.8,-157.32488836388086,-0.31464977672776173,500,423
1717242008165,29,26.87859687769393,34.2,-39.9934588059774,-0.18015071534224053,222,173
1717242719674,30,34.06080609294638,26.8,-74.09651126639329,-0.20931217871862512,354,305
