Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1717341300846,1,37.31699464969625,43.7,-330.2727491308755,-0.6754043949506657,489,
1717341608787,2,28.247140170014895,42.3,-100.04506179882607,-0.6538892928027847,153,
1717342615252,3,26.76572669564546,38.4,-350.70243782501205,-0.7014048756500241,500,
1717343621731,4,25.126889357812274,31.2,-217.387972072384,-0.434775944144768,500,
1717344628266,5,25.22584282088982,40.2,-391.5095589869642,-0.7830191179739283,500,
1717345634785,6,25.53715609116125,34.4,-276.0626430999508,-0.5521252861999015,500,
1717346641212,7,25.681344029199426,32.7,-212.59161517346607,-0.4251832303469321,500,
1717347647500,8,29.30039413797903,34.5,-237.40327608550356,-0.47480655217100715,500,
1717348653918,9,25.948637900216355,38.5,-348.3394270290896,-0.6966788540581792,500,
1717349660732,10,25.610188210278515,34.2,-285.8681416209185,-0.571736283241837,500,
1717355246870,11,24.314638993108204,32.9,-286.42196544645293,-0.5728439308929059,500,
1717356253421,12,38.76881987528531,44.8,-352.74322869883184,-0.7054864573976637,500,
1717356384300,13,29.80631474672186,44.6,-41.30749029489117,-0.6354998506906333,65,
1717356795132,14,29.059623513434225,42.5,-135.03837066749207,-0.6619527973896671,204,
1717357801497,15,26.928454266140406,36.0,-310.82007578466676,-0.6216401515693335,500,
1717358807914,16,24.05693325054544,35.4,-330.0929719902375,-0.660185943980475,500,
1717359814575,17,23.644636110823896,31.1,-233.39395489761176,-0.46678790979522355,500,
1717360821016,18,24.773577679519164,33.0,-284.7033670179823,-0.5694067340359646,500,
1717361171232,19,23.16952095752645,37.9,-117.17475578783785,-0.6734181367117118,174,
1717362177705,20,22.52848247831548,33.6,-329.00441889898485,-0.6580088377979697,500,
1717363184280,21,21.78032177846991,29.7,-242.55062097128103,-0.48510124194256204,500,
1717364191204,22,23.997797840645674,32.7,-289.210179962888,-0.578420359925776,500,
1717370223736,23,23.385160729037835,35.9,-331.8664872046029,-0.6637329744092058,500,
1717371230359,24,38.778857249930056,44.4,-312.19922611119574,-0.6243984522223914,500,
1717371677329,25,28.94903699676402,43.4,-151.404217635593,-0.682000980340509,222,
1717372683971,26,27.841961140343244,33.3,-239.76431534068757,-0.47952863068137513,500,
1717373690562,27,24.933468188116464,32.8,-254.1572294493647,-0.5083144588987294,500,
1717374697081,28,24.584650430144784,36.8,-355.1385295294381,-0.7102770590588762,500,
1717375704035,29,23.986713047068342,36.2,-341.95268158680693,-0.6839053631736138,500,
1717375990042,30,24.33277960737603,39.1,-92.52775957112763,-0.6516039406417439,142,
1717376996750,31,23.92201325068753,31.0,-245.41958360797042,-0.49083916721594084,500,
1717378003370,32,23.362862680329943,29.9,-231.40782064446117,-0.46281564128892233,500,
1717379010055,33,23.912101522731625,33.0,-268.28944552062444,-0.5365788910412489,500,
1717380016789,34,23.90266418048097,31.2,-197.71056610429892,-0.3954211322085978,500,
1717386051099,35,28.818131825960776,35.1,-174.310044005255,-0.34862008801051003,500,
1717386743752,36,30.83342389005101,25.2,-66.75108420962584,-0.19404384944658676,344,295
1717387750571,37,25.1648757306992,32.9,-248.45110759124188,-0.49690221518248373,500,
1717388756907,38,25.222387961748716,30.9,-215.9079078521108,-0.4318158157042216,500,
1717389763873,39,25.211288489490453,32.5,-258.633371391523,-0.517266742783046,500,
1717390770965,40,25.152962168912495,33.0,-246.12417301939237,-0.49224834603878476,500,
1717391777240,41,24.81608558733465,34.9,-314.7310323165277,-0.6294620646330554,500,
1717392783922,42,24.056193515389804,35.0,-322.67610184861593,-0.6453522036972319,500,
1717393790566,43,23.960500351837695,32.3,-280.00586083840926,-0.5600117216768186,500,
1717394797437,44,22.982940472798255,31.2,-252.41237455053698,-0.504824749101074,500,
1717400830267,45,23.466838702785182,31.4,-174.82687322688443,-0.34965374645376884,500,276
1717401837162,46,29.691016978470472,37.1,-280.3715125179336,-0.5607430250358671,500,
1717402843769,47,27.43957942977643,39.4,-340.2734621684073,-0.6805469243368146,500,
1717403232372,48,27.23922774708124,41.0,-126.89441592750191,-0.6574840203497508,193,
1717404239134,49,25.95222415340171,38.4,-372.2760283571748,-0.7445520567143497,500,
1717405246092,50,23.67677548365389,30.1,-217.63649447408352,-0.435272988948167,500,
1717406252717,51,24.481243201147844,31.0,-233.34931624151517,-0.46669863248303034,500,
1717407259303,52,24.10851204711601,36.8,-322.62409891585094,-0.6452481978317018,500,
1717408265681,53,28.05117605820059,38.4,-298.58190264158605,-0.5971638052831721,500,
1717409272226,54,27.659225300936207,41.2,-340.16566627449185,-0.6803313325489837,500,
1717409813781,55,29.78075753847534,43.3,-184.46333826431763,-0.6857373169677236,269,
1717415846922,56,27.79387467145137,38.1,-312.2287082662226,-0.6244574165324452,500,
1717416853624,57,27.192296347624158,39.0,-340.8617570173273,-0.6817235140346546,500,
1717417860422,58,27.111694114804116,36.3,-285.2240052657207,-0.5704480105314413,500,
1717418867277,59,27.46081081544309,33.6,-217.67935936373476,-0.4353587187274695,500,
1717419873992,60,27.23747560515816,41.8,-387.20392568367595,-0.7744078513673519,500,
1717420881134,61,27.879205728284198,37.4,-315.70272230148584,-0.6314054446029717,500,
1717421888066,62,26.89722963327199,41.9,-380.6645483331064,-0.7613290966662127,500,
1717422894638,63,27.850348135663573,41.9,-381.33698012581476,-0.7626739602516295,500,
1717423901179,64,27.77825828815211,40.8,-362.5416911763939,-0.7250833823527878,500,
1717424907716,65,28.335796142832756,38.7,-336.7297810635875,-0.673459562127175,500,
1717430940850,66,26.480100096380113,37.5,-301.0677652917954,-0.6021355305835908,500,
1717431947338,67,27.803417818596486,37.9,-292.30995022833616,-0.5846199004566723,500,
1717432953827,68,30.45823099194373,25.3,-140.88337803955545,-0.2817667560791109,500,484
1717433960326,69,25.486982488329165,39.3,-358.2140511115481,-0.7164281022230962,500,
1717434967347,70,27.094376597773017,34.9,-227.88537388325574,-0.4557707477665115,500,
1717435974003,71,29.166678923533613,37.4,-278.86218160537265,-0.5577243632107453,500,
1717436980830,72,28.764720341327777,39.1,-335.2377273368264,-0.6704754546736529,500,
1717437987640,73,27.632530828741423,40.5,-364.84303679452427,-0.7296860735890486,500,
1717438994473,74,26.963178841837514,35.6,-278.5711927212735,-0.557142385442547,500,
1717440134852,75,26.88181171508942,41.1,-363.2162339349051,-0.7264324678698102,500,
1717446167631,76,29.237207829721378,39.8,-292.3804910252219,-0.5847609820504438,500,
1717447174353,77,30.431312967188234,25.3,-142.90021208476585,-0.2858004241695317,500,
1717448180854,78,26.262271178223727,40.6,-387.10117374211205,-0.7742023474842241,500,
1717449187415,79,26.71493152738089,39.4,-344.412870681852,-0.688825741363704,500,
1717450194236,80,26.190402141785775,37.8,-338.4322380595752,-0.6768644761191503,500,
1717451200948,81,24.763526469239526,31.4,-228.5323204385036,-0.4570646408770072,500,
1717452207936,82,25.467355750170242,35.5,-289.94533784371595,-0.5798906756874319,500,
1717453214478,83,25.97863974191572,37.5,-320.9682536661327,-0.6419365073322654,500,
1717454220996,84,26.977403538958686,39.2,-338.63926972444096,-0.6772785394488819,500,
1717455227519,85,27.3132584985525,34.1,-247.29852702307696,-0.4945970540461539,500,
1717461260158,86,25.76067129468957,32.9,-195.8919336571578,-0.39178386731431564,500,246
1717462266856,87,26.759652113042883,33.2,-253.64683986119772,-0.5072936797223955,500,
1717463273439,88,24.99333366396784,34.6,-296.20700041819896,-0.592414000836398,500,
1717464280119,89,25.00980257625211,37.5,-349.9232581284025,-0.6998465162568049,500,
1717465286612,90,24.25879665800091,37.1,-358.2004257176563,-0.7164008514353126,500,
1717466293137,91,23.409381260124576,37.0,-344.7994941870394,-0.6895989883740787,500,
1717467299899,92,25.822455797609777,37.1,-305.34707905386426,-0.6106941581077285,500,
1717468306481,93,25.783516070496674,33.0,-254.28566238468107,-0.5085713247693622,500,
1717469315096,94,25.51008109033007,31.3,-228.93764514992438,-0.45787529029984875,500,
1717470322034,95,23.700793672336573,29.8,-210.688685637805,-0.42137737127561004,500,
1717476354716,96,24.457002718117977,35.8,-329.8280935377904,-0.6596561870755807,500,
1717477361375,97,23.09017083811937,30.7,-252.5561479457839,-0.5051122958915678,500,
1717478368107,98,23.510928937985568,33.7,-300.39849911044337,-0.6007969982208867,500,
1717479374736,99,23.629027319998812,36.6,-357.6207245031693,-0.7152414490063386,500,
1717480381585,100,25.036439568688483,30.7,-199.03978975650097,-0.39807957951300194,500,
1717481388277,101,26.926665581791642,38.9,-336.8846062276551,-0.6737692124553103,500,
1717482394999,102,27.562120457973137,37.3,-309.04673940406644,-0.6180934788081329,500,
1717483401906,103,26.298726117674107,36.6,-291.8304447751493,-0.5836608895502986,500,
1717484408826,104,27.89629368249165,33.0,-206.64003821357397,-0.4132800764271479,500,
1717485415359,105,26.848001929976178,38.8,-334.5532569342143,-0.6691065138684286,500,
1717491144352,106,27.941809510547166,42.6,-289.6673619069053,-0.5793347238138106,500,267
