Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1719498294965,1,31.637755658852704,44.5,-315.65768469036004,-0.6313153693807201,500,
1719499303542,2,34.76927264299996,27.0,-252.20934517967933,-0.5044186903593587,500,
1719500312028,3,34.71264972144255,42.5,-249.44805984215995,-0.4988961196843199,500,
1719501320175,4,35.66607242708692,42.5,-249.3190552203578,-0.4986381104407156,500,
1719502330059,5,34.99053537934961,41.4,-233.3346068326064,-0.4666692136652128,500,
1719503338353,6,34.62768975720732,42.2,-247.23097163672637,-0.4944619432734527,500,
1719504346496,7,34.536487314100725,43.7,-290.8489984511834,-0.5816979969023668,500,
1719505354798,8,34.151158398981494,41.1,-237.29684658506798,-0.47459369317013594,500,
1719506366164,9,34.08444088172716,28.8,-214.6361674750614,-0.4292723349501228,500,
1719507374080,10,35.41435321597422,30.1,-194.65014345040146,-0.3893002869008029,500,
1719513414274,11,34.83562831678355,44.8,-308.12430774942874,-0.6162486154988575,500,
1719514422618,12,33.205801912985166,27.6,-220.86885862097208,-0.44173771724194416,500,
1719515434592,13,33.49256305675796,26.7,-234.90948783756122,-0.46981897567512243,500,
1719516441714,14,33.19228810536501,27.0,-225.95524485014283,-0.4519104897002857,500,
1719517448707,15,33.11343790936206,25.1,-257.29695735462,-0.51459391470924,500,
1719518455574,16,33.070487293414395,28.1,-193.59455935506458,-0.3871891187101292,500,
1719519463409,17,32.54060256953762,26.5,-208.5461289690437,-0.4170922579380874,500,
1719520470010,18,31.423283834985238,45.0,-368.35263928472295,-0.7367052785694459,500,
1719521476828,19,31.38870320786532,25.5,-216.19595467779564,-0.4323919093555913,500,
1719522483827,20,31.824342874450075,37.8,-218.62254007201847,-0.43724508014403696,500,
1719528523358,21,31.924556993311413,26.4,-179.1214108892483,-0.3582428217784966,500,
1719529530197,22,29.57729828455859,39.9,-299.9018097976211,-0.5998036195952422,500,
1719530537184,23,29.68938558089893,41.1,-329.92713076449627,-0.6598542615289925,500,
1719531544161,24,29.337458470400623,41.6,-344.04469710222736,-0.6880893942044547,500,
1719532552956,25,29.554902041613307,38.1,-271.8203282350287,-0.5436406564700573,500,
1719533559858,26,29.263843033461036,39.7,-310.9775299192011,-0.6219550598384023,500,
1719534566802,27,28.997005930427562,34.7,-215.2467967878074,-0.4304935935756148,500,
1719535573127,28,28.90256007947462,42.3,-365.2221635696463,-0.7304443271392925,500,
1719536581248,29,29.021912269181936,36.3,-250.42907943736725,-0.5008581588747345,500,
1719537588057,30,29.144486816000423,43.8,-392.1930936315032,-0.7843861872630064,500,
1719543624264,31,29.138761329410904,39.3,-320.83437094534924,-0.6416687418906984,500,
1719544630855,32,28.55170515223429,42.2,-373.82754724179483,-0.7476550944835897,500,
1719545640392,33,28.80126065332573,42.0,-363.30284134311484,-0.7266056826862297,500,
1719546647132,34,28.636415956848744,40.4,-344.3907768200894,-0.6887815536401788,500,
1719547654111,35,27.75373495433071,33.4,-208.00384044840493,-0.41600768089680984,500,
1719548661112,36,27.65453395102078,39.6,-336.28824869201617,-0.6725764973840324,500,
1719549669588,37,28.27640034169893,34.7,-238.11182037470255,-0.4762236407494051,500,
1719550676198,38,27.586992521549192,39.7,-341.3043389301669,-0.6826086778603339,500,
1719551682820,39,27.59721663502357,39.2,-332.24481415598933,-0.6644896283119787,500,
1719552689419,40,27.43938934720415,35.4,-258.20313297550297,-0.5164062659510059,500,
1719558728005,41,27.148717860232786,38.8,-318.94178595832676,-0.6378835719166536,500,
1719559735000,42,27.49777753293359,40.6,-361.2477698124034,-0.7224955396248068,500,
1719560742301,43,28.080333440398647,35.3,-257.05581626630925,-0.5141116325326185,500,
1719561749056,44,26.437440773455137,39.9,-375.3741864426183,-0.7507483728852365,500,
1719562756253,45,25.40297602359265,36.8,-321.45451877725407,-0.6429090375545081,500,
1719563765097,46,25.569829364091717,38.8,-354.22853823859583,-0.7084570764771917,500,
1719564772618,47,26.698034211054804,32.5,-221.29010140917123,-0.4425802028183425,500,
1719565779695,48,26.680288660010028,36.3,-289.2423655955634,-0.5784847311911268,500,
1719566787019,49,27.258673447696466,41.7,-391.309562431992,-0.782619124863984,500,
1719567795715,50,26.95831074549895,39.8,-351.01506206514176,-0.7020301241302835,500,
1719573832771,51,27.345626021264405,33.5,-208.9082465389627,-0.4178164930779254,500,
1719574839784,52,27.90145138293364,38.7,-309.5244341186134,-0.6190488682372268,500,
1719575847167,53,28.546821774620895,34.6,-220.38699504312467,-0.44077399008624935,500,
1719576856083,54,28.864697067829475,37.6,-276.14271027331705,-0.5522854205466341,500,
1719577863302,55,29.382004863151522,37.5,-258.96590449915266,-0.5179318089983053,500,
1719578870313,56,30.150065706903376,25.1,-198.37237697768185,-0.3967447539553637,500,
1719579877407,57,29.97875809101293,43.6,-362.6255589811888,-0.7252511179623776,500,
1719580887667,58,30.825941991811526,35.9,-211.89958235674982,-0.42379916471349965,500,
1719581895029,59,30.58585413767501,25.6,-192.24101955369613,-0.38448203910739226,500,
1719582902322,60,30.15235825773006,25.0,-200.91392730212718,-0.40182785460425435,500,
1719588938917,61,29.83597312070941,38.6,-187.61671824037984,-0.3752334364807597,500,
1719589947497,62,33.40143006812504,42.1,-283.7593084396996,-0.5675186168793992,500,
1719590954842,63,32.983041888532604,42.5,-283.63395688661313,-0.5672679137732263,500,
1719591961789,64,33.54775153250114,45.0,-332.77352990705947,-0.665547059814119,500,
1719592968661,65,33.419319100207034,27.5,-217.63656921999916,-0.4352731384399983,500,
1719593976606,66,33.599396198926634,25.7,-256.95482484551223,-0.5139096496910245,500,
1719594983478,67,33.643257094901756,26.1,-245.7663931547229,-0.4915327863094458,500,
1719595990581,68,33.30439192336091,40.8,-243.163520494379,-0.48632704098875795,500,
1719596997560,69,34.26108499778019,26.7,-251.8155994227015,-0.503631198845403,500,
1719598006205,70,34.513520066011935,41.2,-239.19354830680794,-0.4783870966136159,500,
1719604043743,71,34.30934381743196,25.3,-267.5727012506408,-0.5351454025012816,500,
1719605050879,72,32.10422568271093,42.6,-319.2378718347887,-0.6384757436695774,500,
1719606058163,73,31.329889153923638,25.7,-209.17397384306156,-0.4183479476861231,500,
1719607067889,74,31.10482350650166,39.9,-277.0314437224852,-0.5540628874449705,500,
1719608074750,75,30.830237887806867,25.2,-218.9277739304181,-0.43785554786083625,500,
1719609081550,76,31.207381629459427,38.0,-240.29665392779864,-0.4805933078555973,500,
1719610088531,77,30.33281096611295,25.1,-215.63157322381264,-0.43126314644762526,500,
1719611097115,78,31.255711489095926,25.0,-222.19461921038751,-0.44438923842077505,500,
1719612103971,79,31.108672655362806,39.1,-269.777083867392,-0.5395541677347839,500,
1719613111153,80,30.658628772475808,36.2,-215.50741834405105,-0.4310148366881021,500,
1719619146896,81,30.533178377022068,25.5,-216.42907464721193,-0.43285814929442384,500,
1719620155476,82,30.190298734822697,25.1,-190.65774685094758,-0.38131549370189516,500,
1719621162405,83,29.573051870655874,40.4,-317.63413854174775,-0.6352682770834955,500,
1719622169322,84,29.44886310742684,41.7,-351.83726490962323,-0.7036745298192465,500,
1719623175993,85,29.049961156791795,36.3,-249.73675356265835,-0.4994735071253167,500,
1719624183200,86,28.34238150450797,33.7,-203.44834376158806,-0.40689668752317615,500,
1719625193265,87,28.606614032775784,38.4,-294.4672764440794,-0.5889345528881588,500,
1719626202447,88,28.35694783107683,40.1,-336.1677096189056,-0.6723354192378111,500,
1719627209594,89,28.713249794977152,36.8,-260.8188121014232,-0.5216376242028464,500,
1719628216649,90,28.65871020806388,43.2,-388.6017463271165,-0.7772034926542329,500,
1719634255275,91,28.316408813130874,40.3,-321.1914476606095,-0.6423828953212191,500,
1719635262329,92,28.65640636283346,34.3,-213.0071959285909,-0.4260143918571818,500,
1719636269527,93,28.844597985530267,35.7,-233.0709975838823,-0.4661419951677646,500,
1719637276488,94,29.04585455351235,44.0,-391.78961328539134,-0.7835792265707827,500,
1719638285000,95,29.52764909327079,43.2,-366.1204083654014,-0.7322408167308028,500,
