Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1719746493010,1,25.716829485093427,39.1,-341.02823385140533,-0.6820564677028107,500,
1719747500098,2,27.868761411918687,41.6,-364.85136572947414,-0.7297027314589483,500,
1719748507085,3,28.6028428884651,41.0,-350.9192327497878,-0.7018384654995756,500,
1719749513996,4,28.14051414534285,38.8,-305.154159390751,-0.6103083187815019,500,
1719750524278,5,28.888112517644608,35.1,-216.84850540070826,-0.43369701080141654,500,
1719751531690,6,29.60257540376924,39.4,-295.7189565276619,-0.5914379130553238,500,
1719752538980,7,29.920218076641238,36.8,-241.65794391208453,-0.48331588782416907,500,
1719753545876,8,29.68718962774512,44.4,-395.1345344165586,-0.7902690688331172,500,
1719754554866,9,29.517622124375265,39.1,-287.25494304025443,-0.5745098860805089,500,
1719755561927,10,29.892414170654302,35.8,-218.46058017577465,-0.4369211603515493,500,
1719761598816,11,29.84996266818758,38.6,-269.9119302804221,-0.5398238605608442,500,
1719762605612,12,29.717117447204288,40.6,-331.0203853820295,-0.662040770764059,500,
1719763614523,13,28.310603310122264,39.7,-316.2871748209322,-0.6325743496418644,500,
1719764621518,14,28.848724568061126,42.1,-362.87329231408216,-0.7257465846281643,500,
1719765628622,15,29.612577099158713,39.6,-300.3941845866572,-0.6007883691733145,500,
1719766635661,16,29.725746371484686,42.1,-353.16048539307144,-0.7063209707861429,500,
1719767644461,17,29.591136728797935,39.7,-308.47631837689767,-0.6169526367537953,500,
1719768651241,18,29.14527737278501,40.6,-322.7730499549153,-0.6455460999098306,500,
1719769657997,19,29.569086766675035,43.6,-383.68021149876154,-0.767360422997523,500,
1719770665013,20,29.288670999449486,35.6,-220.98406134970955,-0.4419681226994191,500,
1719776702945,21,29.42794731564561,37.5,-173.71365755986062,-0.34742731511972125,500,300
1719777709896,22,34.10195353911853,44.5,-357.12703455430585,-0.7142540691086117,500,
1719778716641,23,30.159425377760385,41.2,-329.25583931922006,-0.6585116786384401,500,
1719779723570,24,29.249109077306247,38.6,-289.6673958916434,-0.5793347917832868,500,
1719780732380,25,28.835121893884242,43.6,-390.9158826986324,-0.7818317653972648,500,
1719781739698,26,28.942404995858794,40.6,-332.9914340349396,-0.6659828680698792,500,
1719782746800,27,29.50617606687989,35.3,-222.52303840300382,-0.44504607680600766,500,
1719783753935,28,29.08765829097447,39.7,-314.79893329330355,-0.6295978665866071,500,
1719784762785,29,28.665868995659253,37.4,-275.1426718439077,-0.5502853436878153,500,
1719785769558,30,28.335449942070547,39.8,-330.4875052767021,-0.6609750105534042,500,
1719791806939,31,28.52360845126435,35.2,-176.15800382805932,-0.35231600765611865,500,357
1719792814057,32,33.449114900031034,43.4,-340.206714852538,-0.680413429705076,500,
1719793822464,33,29.960023373107976,37.9,-272.42653471242943,-0.5448530694248589,500,
1719794829509,34,29.03205004462927,40.2,-331.11504842511806,-0.6622300968502361,500,
1719795808758,35,28.440272782440736,43.1,-379.65033515247126,-0.7811735291203112,486,
1719796815738,36,27.851881024196995,42.6,-396.92795025107455,-0.793855900502149,500,
1719797825636,37,27.698662695023046,36.6,-281.4039168741993,-0.5628078337483986,500,
1719798832403,38,27.02552197028953,33.8,-230.87768349865632,-0.4617553669973126,500,
1719799841206,39,27.648188540199346,37.1,-290.99523729475817,-0.5819904745895164,500,
1719800847811,40,27.325990992141364,37.4,-298.9948918074478,-0.5979897836148956,500,
1719805482736,41,27.560151920550013,38.3,-178.04676516920668,-0.35609353033841334,500,181
1719806489539,42,31.485819688832613,39.1,-296.7154508870823,-0.5934309017741646,500,
1719807496630,43,27.54037928274234,39.2,-342.2081879683341,-0.6844163759366682,500,
1719808503610,44,26.653096823661656,33.1,-229.6359928882424,-0.4592719857764848,500,
1719809510562,45,26.711404159172865,32.0,-207.6614402867995,-0.415322880573599,500,
1719810521359,46,26.57918430537233,33.6,-240.26007368796334,-0.4805201473759267,500,
1719811528390,47,27.124374791745083,32.9,-226.28086284791917,-0.45256172569583836,500,
1719812535815,48,26.36123934216694,39.1,-350.65242497624837,-0.7013048499524968,500,
1719813543141,49,26.58190928884634,39.7,-369.09599150125285,-0.7381919830025057,500,
1719814552584,50,26.214096444174935,34.7,-262.692221625656,-0.525384443251312,500,
1719820591103,51,26.511210027053654,35.9,-156.56969713542426,-0.3131393942708485,500,151
1719821598568,52,29.955069304963168,36.9,-263.12833393567604,-0.5262566678713521,500,
1719822605783,53,27.74935202397605,34.9,-257.1206608673003,-0.5142413217346006,500,
1719823616389,54,26.82010949800877,37.9,-315.93873805989557,-0.6318774761197912,500,
1719824624079,55,27.337657397323067,33.8,-217.11345847872073,-0.4342269169574415,500,
1719825631683,56,28.360321415751585,41.0,-357.62213416773824,-0.7152442683354765,500,
1719826638873,57,28.061258546063115,42.7,-386.95662070060195,-0.7739132414012039,500,
1719827648128,58,28.37905033513536,33.4,-192.7719273396181,-0.3855438546792362,500,
1719828655584,59,28.99713517372041,41.7,-346.8645282822943,-0.6937290565645886,500,
1719829662885,60,29.643275098531113,34.8,-198.63685321847964,-0.3972737064369593,500,
1719835701683,61,29.617657519595426,44.0,-191.0614068969146,-0.38212281379382923,500,144
