Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1724093553606,1,26.92391205360738,41.0,-455.0318411326359,-0.9100636822652718,500,
1724094559631,2,27.39807924530264,38.1,-387.36367820033,-0.77472735640066,500,
1724095565494,3,27.108176139981794,37.5,-381.75905712269576,-0.7635181142453915,500,
1724095734458,4,26.96258318979907,41.9,-84.78832935131297,-1.0093848732299162,84,
1724096740360,5,26.464213165125216,35.3,-329.3044377891575,-0.6586088755783149,500,
1724107846806,7,24.173936585496065,31.1,-243.9679616294823,-0.48793592325896457,500,
1724108852623,8,25.743185365663702,31.7,-251.90891078400836,-0.5038178215680167,500,
1724109858441,9,26.006181203221548,39.9,-470.9988428771499,-0.9419976857542999,500,
1724110864237,10,26.34422462413779,33.7,-300.5277038571997,-0.6010554077143994,500,
1724111870083,11,26.233459460246273,38.2,-423.0864553699313,-0.8461729107398626,500,
1724122982597,13,48.783239386975794,42.1,-332.4829801459494,-0.6649659602918988,500,
1724123988499,14,52.05041270667638,40.6,-417.65524447238846,-0.8353104889447769,500,
1724124994370,15,52.98062365304198,39.8,-454.66659768499613,-0.9093331953699922,500,
1724126000187,16,53.28194287674383,40.2,-447.11030258538955,-0.8942206051707791,500,
1724127006070,17,53.21793860076846,42.3,-395.65326001048385,-0.7913065200209677,500,
1724137752170,19,29.891671512099364,39.7,-112.96607389766145,-0.35523922609327496,318,247
1724138758100,20,39.90487595810183,28.8,-381.45784911828275,-0.7629156982365655,500,
1724139764026,21,39.12220298604538,44.2,-128.44496736496114,-0.2568899347299223,500,362
1724140769828,22,44.53659413155313,34.1,-339.70258001440703,-0.679405160028814,500,
1724141775837,23,42.83910865181436,37.0,-271.64181094191446,-0.543283621883829,500,
1724152887491,25,33.595699825252325,38.8,-137.0353882048896,-0.2740707764097792,500,
1724153893225,26,37.990980355153546,28.3,-197.64466366311143,-0.39528932732622285,500,
1724154898950,27,29.57868877250494,36.0,-127.27739537736906,-0.25455479075473814,500,314
1724155904658,28,35.41741742505534,41.6,-153.57542978298727,-0.30715085956597454,500,
1724156429710,29,40.51624536577894,33.7,-63.6580274420379,-0.2439004882836701,261,168
1724167540077,31,47.357050184577375,35.1,-353.7320689710991,-0.7074641379421982,500,
1724168546019,32,44.26486040789083,39.1,-330.1450837510243,-0.6602901675020486,500,
1724169551876,33,48.73200878197854,42.9,-335.04873645326313,-0.6700974729065262,500,
1724170557595,34,52.67338429536049,41.5,-362.4015778062417,-0.7248031556124833,500,
1724171563355,35,51.02370195923781,43.7,-344.05345065617325,-0.6881069013123465,500,
1724182392386,37,28.424597169528976,41.0,-140.78694650981842,-0.4045601911201679,348,299
1724183398379,38,41.28779907278829,26.7,-256.7657749631516,-0.5135315499263032,500,
1724184404198,39,29.199273915803417,38.3,-144.59278786794712,-0.28918557573589426,500,216
1724185410254,40,38.894460813728,26.9,-232.59679239077778,-0.46519358478155554,500,
1724186416166,41,29.25731709436608,36.1,-132.99966946454194,-0.2659993389290839,500,165
