Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1723720794643,1,25.25365913231218,31.7,-77.65924260362826,-0.15531848520725652,500,261
1723721805041,2,34.288673651359105,40.2,-99.5168474057815,-0.19903369481156302,500,
1723722815295,3,38.943272225096194,27.1,-381.9081035930568,-0.7638162071861136,500,
1723723825586,4,38.966665769746456,44.7,-211.1792825706452,-0.4223585651412904,500,
1723724835941,5,38.21491539850859,32.3,-235.48867932687915,-0.4709773586537583,500,
1723725068218,6,42.69420720154005,29.0,-113.18374460293391,-0.984206474808121,115,
1723725686008,7,44.9329532222394,33.8,-268.3304284555883,-0.8768968250182624,306,
1723726695863,8,49.64443006283991,40.3,-372.70937418201237,-0.7454187483640248,500,
1723727706282,9,53.75497828221465,41.8,-443.60290366654397,-0.887205807333088,500,
1723728716197,10,56.484756816475425,46.8,-344.12116646953376,-0.6882423329390676,500,
1723729600699,11,57.478259460094506,43.5,-431.8352007985999,-0.9859251159785386,438,
1723735272053,12,58.78827910767261,46.0,-455.79821240779535,-0.9115964248155907,500,
1723736282348,13,59.660151754421875,53.4,-224.10581854814976,-0.4482116370962995,500,
1723737292469,14,60.16532453123332,51.4,-292.2542328932414,-0.5845084657864829,500,
1723738302077,15,60.3533409525145,51.5,-288.67220309572,-0.57734440619144,500,
1723739312144,16,59.97576843374365,51.3,-282.1895328364235,-0.564379065672847,500,
1723740321945,17,59.12413658648878,52.3,-195.97910026094291,-0.39195820052188585,500,
1723741331480,18,55.065920379425904,46.1,-146.93123794971464,-0.29386247589942927,500,
1723742341014,19,48.424604393489865,40.8,-135.54852105516807,-0.27109704211033614,500,
1723743350974,20,43.00451391394612,33.8,-325.06455687607814,-0.6501291137521563,500,
1723744361070,21,44.29802981231448,36.6,-190.7984219418702,-0.3815968438837404,500,
1723750397911,22,41.01933904127985,30.2,-315.9242762101174,-0.6318485524202347,500,
1723751407287,23,39.493734608124555,44.7,-210.2124939877699,-0.4204249879755398,500,
1723752416776,24,38.757264988439594,44.3,-191.43929830689922,-0.3828785966137984,500,
1723753425605,25,38.8636526409114,28.8,-362.965465601345,-0.7259309312026899,500,
1723754434324,26,40.865242162252216,33.0,-348.7977380250917,-0.6975954760501833,500,
1723755443791,27,45.45112689692067,39.5,-203.64112106780374,-0.4072822421356075,500,
1723756453006,28,45.834203089497656,32.4,-452.63994716486286,-0.9052798943297258,500,
1723757462222,29,45.46029271145446,38.9,-268.16059098753175,-0.5363211819750635,500,
1723758471468,30,46.873667100285076,33.2,-461.0981278665698,-0.9221962557331397,500,
1723759480604,31,46.00653990318299,38.3,-231.96151360284134,-0.4639230272056827,500,
1723764359475,32,45.34074514462898,40.1,-286.00805634932414,-0.5720161126986483,500,
1723765369383,33,45.976629964582294,37.1,-184.1124458970417,-0.3682248917940834,500,
1723766379083,34,38.71397751130865,44.6,-249.81625103244642,-0.49963250206489285,500,
1723767389163,35,35.70247072659431,42.2,-250.732325816058,-0.501464651632116,500,
1723768398952,36,35.558146670447755,26.3,-299.7696894266039,-0.5995393788532078,500,
1723769409199,37,33.38057371341105,40.0,-240.18908601590408,-0.48037817203180816,500,
1723770418868,38,34.3554560560873,40.5,-195.56067507370742,-0.39112135014741484,500,
1723771429226,39,34.622221433574126,29.2,-175.0743128306497,-0.3501486256612994,500,
1723772440938,40,33.81322467310672,39.8,-99.03666022015676,-0.19807332044031353,500,382
1723773451364,41,40.606114394134224,33.6,-146.85460614731713,-0.29370921229463426,500,
1723779365132,42,34.34923761578758,28.8,-58.981506441235915,-0.13466097361012766,438,337
