Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1720087937237,1,22.57978732695217,32.1,-122.90339821069695,-0.24580679642139389,500,
1720088942411,2,29.475879363585957,42.6,-257.20927206791646,-0.5144185441358329,500,
1720089947580,3,38.19937629946277,44.4,-157.02544407450165,-0.3140508881490033,500,
1720090952518,4,39.927198159853674,45.0,-152.04365681965479,-0.3040873136393096,500,
1720091957590,5,40.86256673396129,27.0,-156.74513704610737,-0.31349027409221475,500,
1720092962852,6,28.596217278184447,35.9,-127.31354598408126,-0.2546270919681625,500,
1720093968103,7,33.001736154172164,38.6,-116.99932995681648,-0.23399865991363297,500,
1720094973350,8,35.37427888008581,43.4,-162.80202044599767,-0.32560404089199535,500,
1720095978443,9,39.30318018850675,44.9,-145.48151506694123,-0.29096303013388247,500,
1720096983520,10,40.95971180585227,29.1,-133.2353945377901,-0.26647078907558025,500,
1720097988666,11,30.566681966288783,25.5,-122.2833883946623,-0.2445667767893246,500,
1720098993904,12,28.60810104481734,36.2,-117.9263955386348,-0.23585279107726959,500,
1720099999132,13,33.893494500493574,27.0,-116.97850027462637,-0.23395700054925275,500,
1720101004667,14,28.910713698794368,40.5,-200.071776812289,-0.400143553624578,500,
1720102009775,15,37.04071128444622,44.0,-152.41693334365593,-0.3048338666873118,500,
1720103014912,16,39.73692170045082,26.9,-197.68187618019365,-0.3953637523603873,500,
1720104020199,17,29.50810972414017,35.3,-88.39459949211188,-0.17678919898422377,500,
1720105025487,18,33.531935342308344,25.2,-167.0776919518343,-0.3341553839036686,500,
1720106030461,19,29.027985864201522,34.3,-83.17239882941905,-0.1663447976588381,500,
1720107035635,20,32.746683877949025,25.3,-158.99283789559647,-0.3179856757911929,500,
1720108040776,21,29.610766556741243,37.3,-123.5807140764083,-0.2471614281528166,500,
1720109046193,22,34.87504332822566,43.8,-175.35008446877822,-0.35070016893755646,500,
1720110051271,23,39.81369240837897,29.3,-133.94632051277227,-0.26789264102554455,500,
1720111056513,24,30.94715899880236,25.8,-125.04247274049129,-0.2500849454809826,500,
1720112061863,25,29.221264223602276,37.7,-122.80156863068038,-0.24560313726136077,500,
1720113067009,26,35.26946271261836,25.4,-183.3515880083426,-0.3667031760166852,500,
1720114072296,27,29.261427622064446,38.1,-126.74477402856375,-0.25348954805712753,500,
1720115077557,28,35.70536449052126,26.2,-164.78962007018083,-0.32957924014036166,500,
1720116082614,29,29.508722084278418,40.5,-176.44142672398857,-0.35288285344797715,500,
1720117087825,30,37.17910885419742,26.5,-168.49226312343788,-0.33698452624687575,500,
1720118092819,31,29.43076057825863,44.4,-296.38053391553666,-0.5927610678310733,500,
1720119097975,32,40.20445408494902,31.9,-66.55067533572802,-0.13310135067145604,500,464
1720120103217,33,32.289561578139285,25.4,-127.00751390695567,-0.25401502781391133,500,
1720121108394,34,28.119956196438274,38.4,-161.99076978729553,-0.3239815395745911,500,
1720122113569,35,35.34863393644886,41.0,-137.2582479842806,-0.27451649596856115,500,
1720123118774,36,37.0241801148982,42.5,-138.06847161076894,-0.27613694322153787,500,
1720124123740,37,38.618984722264784,44.7,-153.12467594005417,-0.3062493518801083,500,
1720124720829,38,40.351574708270476,33.6,-36.801753802772545,-0.12391162896556412,297,248
1720125726080,39,33.68190249019903,25.3,-141.63038445859434,-0.28326076891718865,500,
1720126731184,40,27.92578315528862,32.9,-79.00231581123481,-0.1580046316224696,500,
1720127736120,41,31.301307758306727,37.9,-133.64393692634465,-0.2672878738526893,500,
1720128741612,42,34.801713950737124,27.5,-88.55835415413247,-0.17711670830826495,500,
1720129746888,43,28.931788772190956,39.8,-200.91069279821681,-0.40182138559643366,500,
1720130752103,44,35.99610081970849,43.4,-171.58277656628024,-0.3431655531325605,500,
1720131757201,45,38.84704640544557,28.0,-122.31941442817902,-0.24463882885635804,500,
1720132762575,46,29.455972040306808,42.1,-259.2438578624747,-0.5184877157249494,500,
1720133767611,47,37.52075243062853,25.7,-163.67475195878419,-0.3273495039175684,500,
1720134772867,48,27.71706900320659,41.0,-252.32154707127145,-0.5046430941425429,500,
1720135777985,49,36.89916462897578,43.8,-166.02833003129794,-0.3320566600625959,500,
1720136783112,50,39.46380013376199,45.0,-160.44443891219225,-0.3208888778243845,500,
