Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1720171855874,1,23.31427162889566,34.1,-73.65071487199627,-0.14730142974399255,500,193
1720172860825,2,33.481327899238835,39.7,-40.14430442697656,-0.08028860885395313,500,166
1720173866059,3,39.00463615908026,44.2,-39.151692143580746,-0.07830338428716149,500,185
1720174870923,4,43.8932864228168,30.2,-103.47081308144742,-0.20694162616289483,500,271
1720175614844,5,30.42087425247911,38.5,-51.67198134677178,-0.13965400363992372,370,182
1720176499552,6,38.26482995531828,33.2,-21.042827637660594,-0.04782460826741044,440,95
1720177504586,7,33.285785328300435,26.2,-102.3212987965148,-0.20464259759302958,500,
1720178509730,8,27.604788600203705,35.5,-50.696921065693886,-0.10139384213138777,500,170
1720179514896,9,35.13454212699139,43.9,-79.74059438860482,-0.15948118877720963,500,274
1720180520263,10,43.93787247019878,36.4,-30.37537407320494,-0.060750748146409884,500,109
1720181525773,11,36.43353165890041,30.6,-39.37941178925726,-0.07875882357851452,500,182
1720182530804,12,30.29717804983644,25.2,-105.03872596079854,-0.21007745192159707,500,
1720183535996,13,27.221108765567635,35.1,-49.014932768331235,-0.09802986553666247,500,157
1720184541131,14,34.86147538820377,25.0,-159.42955844708644,-0.31885911689417284,500,
1720185546355,15,27.312309550501638,38.0,-88.44999377920287,-0.17689998755840575,500,241
1720186551611,16,37.86534795656276,26.6,-137.43299722983463,-0.27486599445966925,500,
1720187556726,17,27.632188552030158,38.9,-96.239946739438,-0.192479893478876,500,252
1720188562040,18,38.35604813079823,31.6,-39.065521443204204,-0.0781310428864084,500,148
1720189567166,19,31.216752993092083,41.5,-89.03521139561543,-0.17807042279123086,500,262
1720190572416,20,40.79965457603921,32.3,-49.629370497454126,-0.09925874099490825,500,163
1720191577443,21,32.117753343475016,25.0,-130.4761184982939,-0.2609522369965878,500,
1720192582602,22,27.299927922290998,36.1,-59.34700906288752,-0.11869401812577504,500,179
1720193587667,23,36.17147835404495,43.4,-61.645422209610686,-0.12329084441922138,500,233
1720194592624,24,42.59604311745102,27.8,-147.7979980458881,-0.2955959960917762,500,466
1720195597758,25,27.904096929162783,39.0,-92.61424971943572,-0.18522849943887143,500,257
1720196158675,26,38.46670336768315,43.9,-37.17214853348309,-0.13323350728846986,279,188
1720197163757,27,43.76762711556264,32.5,-64.53768310287406,-0.1290753662057481,500,186
1720197945740,28,32.784139984919776,27.7,-46.79794089899482,-0.12030318997170904,389,340
1720198950847,29,27.593331394450054,38.9,-92.16835652486404,-0.18433671304972807,500,251
1720199956096,30,38.67787111495906,44.4,-49.62051069234442,-0.09924102138468884,500,206
1720200961206,31,44.34308619781704,30.8,-99.99619822777724,-0.19999239645555447,500,263
1720201966385,32,30.87054222207417,40.1,-68.79478490199782,-0.13758956980399564,500,214
1720202971792,33,39.810461678955434,32.2,-45.86166890216603,-0.09172333780433206,500,162
1720203977031,34,32.39927056520723,26.4,-80.55126214178385,-0.1611025242835677,500,
1720204724906,35,27.335210556333486,39.9,-113.91981807385737,-0.30623607009101445,372,283
1720205547179,36,39.90417978591258,28.3,-96.48783853750474,-0.23591158566627077,409,360
1720206552444,37,28.15162911293219,38.3,-73.85113390075189,-0.14770226780150378,500,214
1720207557613,38,38.26559565533978,29.8,-54.16544238689181,-0.10833088477378362,500,217
1720208562426,39,29.839645895250037,35.8,-34.15922064682316,-0.06831844129364631,500,136
1720209567528,40,35.82707077184891,29.5,-44.73858842899822,-0.08947717685799644,500,195
1720210096257,41,29.40116083594812,38.0,-66.27568539579252,-0.25199880378628337,263,214
1720211101715,42,38.00511822273539,44.1,-50.21854438986004,-0.10043708877972009,500,235
1720211877732,43,43.99829663026278,38.8,-17.786294933359596,-0.04607848428331501,386,65
1720212883027,44,38.80745930979262,25.1,-183.49420029408475,-0.3669884005881695,500,
1720213751460,45,27.427988115602837,37.1,-79.41266844246822,-0.18382562139460235,432,239
1720214318499,46,37.263336786758984,29.1,-52.05337785748981,-0.18458644630315535,282,233
1720215323707,47,29.243553828388407,37.0,-56.18228563934258,-0.11236457127868517,500,198
1720215711651,48,37.16376971689023,31.8,-21.929827879528307,-0.11362605118926584,193,114
1720216632204,49,32.043486566176696,39.9,-58.113241983814,-0.1268848078249214,458,213
1720217637291,50,40.039554449916636,32.3,-43.302753007008384,-0.08660550601401677,500,154
1720218642452,51,32.396602960758926,43.5,-130.6222672454909,-0.2612445344909818,500,385
1720219647614,52,42.79548306685656,35.0,-36.08262459723426,-0.07216524919446851,500,109
1720220652589,53,35.31772162637491,26.4,-88.11715944121266,-0.17623431888242533,500,371
