Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1720786586286,1,27.678989672327777,39.7,-382.92895157400335,-0.7658579031480067,500,
1720787591807,2,27.58590600919887,35.9,-267.4373403935951,-0.5348746807871901,500,
1720788597370,3,27.8114995092606,41.1,-452.5360524710868,-0.9050721049421736,500,
1720789602727,4,27.500157348532717,34.7,-231.61305166725376,-0.46322610333450753,500,
1720790608311,5,27.879147324377037,39.6,-404.1462545615635,-0.808292509123127,500,
1720801686654,7,27.488217061057107,33.9,-160.33743847452735,-0.32067487694905467,500,
1720802692022,8,29.50352549883389,41.2,-368.683859606549,-0.737367719213098,500,
1720803697348,9,30.46135331214142,44.4,-451.6853609957493,-0.9033707219914986,500,
1720804702900,10,31.15466355888694,26.1,-135.44548058960788,-0.27089096117921574,500,
1720805708075,11,29.147880880236745,39.3,-318.675972699486,-0.637351945398972,500,
1720816790082,13,27.445592683420003,36.4,-209.23269316107022,-0.4184653863221404,500,
1720817795469,14,31.427315154065692,25.0,-226.50866354585278,-0.45301732709170556,500,
1720818800970,15,32.193845872477425,27.2,-165.27559052856458,-0.33055118105712916,500,
1720819806331,16,32.32388653094189,37.5,-168.6375718002156,-0.3372751436004312,500,
1720820811802,17,32.46385552250291,43.4,-360.1805478311996,-0.7203610956623991,500,
1720831887024,19,27.868138802720342,36.1,-204.41346034004027,-0.40882692068008053,500,
1720832892526,20,30.80416218281848,41.9,-349.88706198549437,-0.6997741239709887,500,
1720833898044,21,31.486002395297014,26.2,-172.15369403216738,-0.34430738806433475,500,
1720834903734,22,31.061125689258514,42.5,-369.40617361788895,-0.7388123472357779,500,
1720835911088,23,31.88585060613444,26.2,-171.98835261472544,-0.3439767052294509,500,
1720846992391,25,29.203737545918138,41.2,-265.3390627317321,-0.5306781254634642,500,
1720847997941,26,35.63843109895976,27.1,-316.6511133594748,-0.6333022267189495,500,
1720849003488,27,37.14973428434571,44.0,-206.6395792345309,-0.4132791584690618,500,
1720850008843,28,38.35620519414105,31.1,-242.0234619615628,-0.4840469239231256,500,
1720851014354,29,38.53342121783541,44.3,-182.67171835558253,-0.36534343671116504,500,
1720862090817,31,31.71769685704775,26.2,-286.16047096955947,-0.572320941939119,500,
1720863096398,32,36.96653547677546,25.8,-405.9545524065134,-0.8119091048130268,500,
1720864101764,33,38.900743436694725,26.2,-436.61226620805024,-0.8732245324161005,500,
1720865107241,34,39.784908495546134,44.8,-115.49337057851677,-0.23098674115703355,500,
1720866112505,35,42.292348002023914,37.2,-148.6397274783546,-0.29727945495670915,500,
1720877194874,37,36.185251501994735,31.1,-290.11162623322275,-0.5802232524664455,500,
1720878200312,38,41.76793674891678,29.2,-459.74373101407645,-0.9194874620281529,500,
1720878898220,39,43.9168955474041,29.1,-343.27431580324946,-0.9892631579344365,347,
1720879903696,40,44.54192943794395,37.3,-248.96360655219502,-0.49792721310439003,500,
1720880909138,41,45.03713409666554,30.1,-494.4268886425071,-0.9888537772850142,500,
1720891986176,43,38.576259146039064,32.6,-314.2295017457904,-0.6284590034915808,500,
1720892991502,44,44.036790055761415,34.1,-362.36892192114647,-0.7247378438422929,500,
1720893996931,45,45.6997445965747,34.3,-388.25008068485926,-0.7765001613697186,500,
1720895002361,46,45.99512785144606,41.0,-168.2500206910582,-0.3365000413821164,500,
1720896007582,47,46.302247651485075,33.2,-420.3026160959303,-0.8406052321918607,500,
1720906665963,49,39.101182031627474,44.7,-41.01645714391596,-0.14046731898601356,292,243
1720907671061,50,44.69935997334571,34.5,-261.6641101688773,-0.5233282203377546,500,
1720908676413,51,41.171277531645025,31.2,-304.06925661350147,-0.608138513227003,500,
1720909681700,52,39.6561581508482,32.5,-238.7577033438375,-0.477515406687675,500,
1720910347191,53,39.775936716805745,44.8,-43.08192348462371,-0.13015686853360636,331,282
