Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1721020068845,1,25.849917238952486,39.1,-333.43472067669353,-0.6668694413533871,500,
1721021078214,2,33.59666285163331,27.8,-310.20990385074236,-0.6204198077014847,500,
1721022087924,3,38.023738671498876,43.2,-136.68963946452868,-0.2733792789290574,500,
1721023096808,4,38.82858157298634,31.9,-245.93953914625706,-0.49187907829251415,500,
1721024105958,5,38.11882479869655,43.7,-275.0264578088915,-0.550052915617783,500,
1721025115198,6,31.89261074955252,25.3,-148.7425881063029,-0.2974851762126058,500,
1721026124333,7,28.534507575565474,39.2,-330.46846485185347,-0.660936929703707,500,
1721027133712,8,29.358105196312962,39.6,-340.798929871602,-0.681597859743204,500,
1721028142987,9,29.879366756495344,40.6,-370.98081940812546,-0.7419616388162509,500,
1721029152181,10,29.516913338523644,43.4,-454.91415833402704,-0.9098283166680541,500,
1721035188009,11,30.0385342726358,25.0,-206.55266102675856,-0.41310532205351713,500,
1721036197353,12,28.548854464799124,40.7,-386.07094287204495,-0.7721418857440899,500,
1721037207273,13,30.81336057187902,25.4,-143.958636000452,-0.287917272000904,500,
1721038216438,14,29.673594534264527,35.0,-108.96885768927017,-0.21793771537854034,500,444
1721039226178,15,35.477589379759976,25.6,-303.28288343916546,-0.606565766878331,500,
1721040235680,16,31.820911876404004,26.7,-131.9701801573299,-0.26394036031465984,500,
1721041244915,17,28.61290902126994,35.8,-135.23122375188007,-0.27046244750376014,500,463
1721042254404,18,36.50382039447321,27.4,-224.50772449980684,-0.4490154489996137,500,
1721043263827,19,29.909113490828897,44.5,-334.6290239627313,-0.6692580479254626,500,
1721044273555,20,37.73690705138167,25.0,-226.9115683971535,-0.453823136794307,500,
1721049878704,21,28.612576617737574,34.8,-40.279012262972785,-0.08055802452594557,500,490
1721050888293,22,35.02702254724454,43.3,-147.46548816667467,-0.29493097633334936,500,
1721051898110,23,42.332235358584946,27.4,-313.11169177232966,-0.6262233835446593,500,
1721052907915,24,32.25727225441145,40.0,-97.13203836457247,-0.19426407672914492,500,280
1721053917597,25,43.66478811412098,36.5,-95.02867132129583,-0.19005734264259166,500,
1721054927582,26,38.70322264976717,26.6,-185.4135308191089,-0.3708270616382178,500,
1721055936475,27,28.832943033029572,37.9,-95.72043279936683,-0.19144086559873366,500,264
1721056946500,28,38.47413406347983,27.7,-134.8812390264633,-0.26976247805292664,500,
1721057956135,29,28.536198525556465,37.7,-91.73332751028568,-0.18346665502057136,500,284
1721058689259,30,38.74969538272583,28.9,-80.13958642837724,-0.2207702105464938,363,314
1721064386218,31,28.631078166887598,36.9,-78.16738395624571,-0.15633476791249143,500,158
1721065395405,32,35.76514820073853,42.3,-60.53200150472202,-0.12106400300944403,500,319
1721066404844,33,42.6138892992462,27.7,-170.76105217026,-0.34152210434052,500,
1721067339543,34,28.286463980882615,38.6,-102.40321284589793,-0.22117324588746853,463,362
1721068349332,35,38.365085310559905,43.9,-60.57077267624392,-0.12114154535248783,500,283
1721069358805,36,45.38872003494723,37.1,-60.130504659845684,-0.12026100931969137,500,282
1721070368777,37,37.86898401155524,43.3,-64.43520379393225,-0.1288704075878645,500,250
1721070897874,38,46.184175468609894,37.3,-56.95948470078013,-0.21740261336175623,262,213
1721071634962,39,37.49639712499321,44.4,-68.26280148593163,-0.18702137393405927,365,316
1721072644202,40,44.6025915716732,34.7,-75.01568995829352,-0.15003137991658705,500,229
1721073540494,41,33.96897883247452,27.6,-50.13913442838787,-0.11292597844231503,444,349
1721079545185,42,27.742713206243778,41.6,-278.1267225447346,-0.5562534450894692,500,
1721080554539,43,39.60963827484734,33.5,-73.41443088747843,-0.14682886177495685,500,130
1721081564057,44,31.718375385859584,37.8,-72.63328944506739,-0.14526657889013478,500,478
1721082573495,45,37.545162366327446,44.5,-100.75036315862485,-0.2015007263172497,500,
1721083310404,46,43.963446099023486,29.6,-101.52490784271524,-0.2781504324457952,365,316
1721084279185,47,29.587391811296197,37.2,-63.001515891830124,-0.1312531581079794,480,301
1721085288657,48,37.48928531344799,43.3,-66.46524921232113,-0.13293049842464225,500,282
1721086298231,49,45.437637290659325,37.5,-107.12337734302558,-0.21424675468605117,500,
1721087307876,50,38.475257689414114,43.6,-58.7213062661339,-0.1174426125322678,500,271
1721088317438,51,45.556919178251604,35.3,-121.48075155294144,-0.24296150310588288,500,342
1721094354032,52,37.86575363730323,44.7,-177.54734976858947,-0.3550946995371789,500,
1721094693060,53,40.68595699009735,35.5,-18.412435178107092,-0.11025410286291672,167,100
1721095702491,54,35.483833567137545,30.1,-49.59168886173912,-0.09918337772347824,500,173
1721096712053,55,29.630797324485826,35.1,-44.0198147286785,-0.088039629457357,500,237
1721097559963,56,34.188442463552846,41.7,-77.14716071043009,-0.1836837159772145,420,371
1721098030411,57,41.966849101604595,36.0,-35.60169969098586,-0.15279699438191358,233,184
1721098934791,58,35.84895095108381,43.2,-88.03678360522211,-0.19651067769022793,448,399
1721099944398,59,43.475954138869916,38.3,-68.13602494496101,-0.136272049889922,500,316
1721100927843,60,37.439660425501486,44.2,-83.02233686830294,-0.17047707775832227,487,438
1721101936991,61,44.370603080315746,39.3,-38.11321679931887,-0.07622643359863775,500,155
1721102294426,62,39.40497943092578,32.9,-25.328025017738184,-0.1430961865408937,177,128
1721102845559,63,32.62368122087905,26.7,-34.17743299237997,-0.12519206224315008,273,224
1721103854702,64,26.570446330116383,35.6,-98.90796418752764,-0.19781592837505527,500,
1721108560489,65,35.066311853599146,30.0,-21.835188752658418,-0.105484003636031,207,137
1721109569861,66,29.79851769009204,44.2,-273.41447412499514,-0.5468289482499903,500,
1721110579478,67,39.82579434629372,44.9,-81.83639757101321,-0.16367279514202643,500,473
1721111441776,68,44.92070108396389,38.3,-42.84421275647113,-0.10033773479267244,427,164
1721112451057,69,38.29927714910794,26.4,-105.71379846972742,-0.21142759693945484,500,
1721113419989,70,26.934254248477473,32.6,-43.2303396974439,-0.09006320770300813,480,373
1721114064118,71,32.70946511835889,39.8,-59.96739240181783,-0.1879855561185512,319,270
1721115073791,72,40.0706844052236,31.2,-52.25047177641709,-0.10450094355283418,500,208
1721115881728,73,32.11446441008687,26.6,-50.12481921242789,-0.1253120480310697,400,351
1721116892113,74,26.434335337966374,33.4,-56.81101041265308,-0.11362202082530616,500,207
1721117901763,75,32.09033077770633,44.3,-178.6681566203493,-0.3573363132406986,500,
1721123957021,76,43.06114346314864,28.3,-151.88199435842958,-0.30376398871685917,500,
1721124966384,77,29.350963848493635,41.5,-143.1963233035977,-0.2863926466071954,500,385
1721125975804,78,43.18811935124761,37.0,-42.37992519033024,-0.08475985038066049,500,110
1721126984958,79,37.02936134719431,43.1,-63.72036449674909,-0.12744072899349818,500,274
1721127994319,80,43.67197508044346,34.8,-59.95955518133073,-0.11991911036266145,500,275
1721129003980,81,34.26296251833968,27.2,-60.62339986054116,-0.12124679972108232,500,353
1721130013267,82,26.641807174610413,39.4,-145.2942315349482,-0.29058846306989644,500,378
1721131022789,83,37.719173195052306,25.5,-132.25163418127119,-0.2645032683625424,500,
1721132032540,84,26.205965439352596,38.9,-147.4222850271946,-0.2948445700543892,500,388
1721133042047,85,37.66703248194443,43.1,-51.1263168914497,-0.1022526337828994,500,196
1721138817125,86,43.10366352555,34.1,-77.79016291571526,-0.1804876169738173,431,130
1721139826447,87,33.82022963132832,38.9,-41.640799332028344,-0.08328159866405668,500,157
1721140585759,88,39.79647118554786,45.0,-54.54060606478057,-0.1450548033637781,376,327
1721141595482,89,45.25860388013544,34.8,-68.66770144391461,-0.13733540288782922,500,191
1721142604823,90,33.15348814428046,39.0,-60.77664894163682,-0.12155329788327364,500,
1721143614533,91,38.01539013557223,43.0,-59.478316852928835,-0.11895663370585767,500,215
1721144624191,92,45.795926249370495,37.0,-57.747179960253234,-0.11549435992050647,500,188
1721145195698,93,35.485519066457215,29.0,-40.643186212931866,-0.14361549898562498,283,234
1721146205579,94,28.97986622032516,41.4,-161.34642164061557,-0.32269284328123116,500,
1721147148122,95,40.89605124801733,29.0,-90.61232259819376,-0.19403066937514724,467,335
1721148157874,96,29.178812082130936,40.1,-115.8851870533646,-0.2317703741067292,500,308
1721154194469,97,40.4649359648549,31.4,-120.04685158081824,-0.24009370316163647,500,392
1721155203807,98,30.20001534991099,43.3,-214.82110580147855,-0.4296422116029571,500,
1721156212859,99,40.5967241522432,25.8,-138.1790469943429,-0.2763580939886858,500,438
1721157222411,100,26.120315859453722,32.8,-56.15999397082327,-0.11231998794164655,500,
1721158231181,101,32.114874723434966,38.6,-76.32016332289251,-0.15264032664578503,500,271
1721159240762,102,37.440388144118415,29.4,-58.061817508078,-0.116123635016156,500,187
1721160250714,103,29.441686666706033,42.2,-175.84704961252717,-0.35169409922505435,500,496
1721160687027,104,41.92318888301148,32.3,-46.5284120161969,-0.21540931488980047,216,167
1721161696254,105,32.33179448125412,41.6,-131.50892262754635,-0.2630178452550927,500,486
1721162174602,106,41.5639254125375,32.9,-44.44227536758198,-0.1875201492303037,237,188
1721162850660,107,32.836712035384465,38.8,-47.63521742171736,-0.1421946788707981,335,240
1721163474445,108,39.06442733281181,31.2,-43.60834610093606,-0.14112733365998725,309,229
1721169045296,109,31.44766435148206,25.7,-31.173250417065745,-0.11588568928277229,269,220
1721170054237,110,25.44355488338715,35.0,-115.23102991154224,-0.2304620598230845,500,498
1721170768638,111,34.776233590701,26.9,-52.63956091844942,-0.1486993246283882,354,296
1721171777911,112,26.934501240413134,34.9,-60.41349912883498,-0.12082699825766996,500,204
1721172373295,113,35.470577985923455,27.3,-51.22018691880583,-0.17362775226713842,295,246
1721173382700,114,27.52721681611513,36.6,-89.87080050089439,-0.1797416010017888,500,267
1721174392529,115,37.78481631584884,30.6,-43.004954653981414,-0.08600990930796283,500,293
1721175401835,116,30.5362735844826,38.3,-71.33223563170966,-0.14266447126341933,500,269
1721176328445,117,39.36758981920103,44.5,-66.6360140369552,-0.14517650116983705,459,410
1721177338129,118,44.51368774217313,35.2,-62.54148506505152,-0.12508297013010303,500,222
1721178244434,119,34.96680058530956,42.8,-91.0361755430951,-0.20275317492894232,449,400
1721184282809,120,42.70035119095457,30.3,-89.58078375010726,-0.17916156750021453,500,241
1721185032125,121,30.40236857582115,25.0,-39.14875196014181,-0.1055222424801666,371,280
1721186041257,122,24.932490487491776,35.5,-102.17972808112492,-0.20435945616224985,500,367
1721187050731,123,34.572489169286165,43.6,-134.90855996524925,-0.2698171199304985,500,
1721187724763,124,42.76652072382382,29.1,-86.87859496855916,-0.2601155537980813,334,228
1721188733764,125,29.25380971541511,34.7,-70.88061814918372,-0.14176123629836743,500,236
1721189238523,126,35.636848882859766,29.2,-36.610653256602546,-0.14644261302641018,250,201
1721190203680,127,29.248922775943946,40.7,-147.20030950025068,-0.30795043828504326,478,429
1721191212887,128,40.56225005298708,30.1,-72.2773597478519,-0.1445547194957038,500,171
1721192222436,129,29.431419070737697,40.3,-132.21712902896627,-0.2644342580579325,500,463
1721193232017,130,40.66140889690806,31.4,-67.6172211005472,-0.1352344422010944,500,277
1721199269047,131,30.13106262308463,36.1,-50.92958016493593,-0.10185916032987186,500,204
1721200183902,132,37.01913277265695,29.7,-47.46422586205896,-0.10477754053434649,453,252
1721201193328,133,29.69222879687392,42.5,-181.59402919047787,-0.36318805838095575,500,
1721202203251,134,41.98198834889905,30.8,-81.93407982081776,-0.1638681596416355,500,
1721203031207,135,32.85552103681382,38.4,-41.5085034194565,-0.10124025224257684,410,189
1721203792653,136,38.61331093880872,32.1,-28.484683268464767,-0.0755561890410206,377,118
1721204802236,137,32.057148019256,43.3,-144.51597689523558,-0.28903195379047114,500,462
1721205812108,138,43.581630254389225,35.7,-47.52283645645324,-0.09504567291290648,500,358
1721206706720,139,36.395915021268834,26.4,-85.31259028889323,-0.1925792105844091,443,375
1721207716640,140,26.536815973047986,34.7,-68.98099171105528,-0.13796198342211055,500,296
1721208726183,141,34.76007811099154,42.3,-82.62327173252466,-0.1652465434650493,500,305
1721214762647,142,42.52331499535238,33.3,-106.69169836036359,-0.21338339672072718,500,
1721215771695,143,33.65807327114973,44.0,-137.6613786970746,-0.27532275739414924,500,430
1721216512254,144,44.499413201029306,30.7,-104.11148935600757,-0.28368253230519774,367,295
1721217521445,145,30.57612306715531,38.6,-73.15757363170934,-0.14631514726341868,500,240
1721218530809,146,38.20618394186508,44.1,-68.43314389388296,-0.1368662877877659,500,359
1721219540336,147,46.05275628757103,35.0,-93.15102264559705,-0.1863020452911941,500,448
1721220549785,148,34.39861119314824,26.1,-95.01933700685946,-0.1900386740137189,500,
1721221559502,149,26.741598757715508,38.0,-116.28177994573319,-0.23256355989146638,500,351
1721222568609,150,38.13938678563641,32.8,-36.47905115717139,-0.07295810231434278,500,105
1721223578193,151,31.947653419452568,25.2,-98.17132516395148,-0.19634265032790296,500,
1721229615779,152,26.60314076699158,38.1,-161.1908688128083,-0.3223817376256166,500,480
1721230625176,153,37.820690938128536,43.1,-52.6325333347668,-0.1052650666695336,500,188
1721231635056,154,45.919249060365104,40.2,-42.255008372858725,-0.08451001674571745,500,168
1721232301395,155,39.537029290987505,44.8,-48.67745374848943,-0.1475074356014831,330,281
1721232937172,156,44.59827678020999,37.2,-36.883069049665515,-0.11708910809417623,315,99
1721233947365,157,37.03995242268114,44.7,-67.99914167933362,-0.13599828335866723,500,267
1721234956660,158,45.23862688298426,34.1,-67.40259328444823,-0.13480518656889645,500,177
1721235966331,159,32.93391872255108,44.3,-130.5561703450273,-0.2611123406900546,500,
1721236975344,160,43.33256404481004,30.6,-97.65434251964298,-0.19530868503928597,500,265
1721237985028,161,29.9292261087526,35.6,-56.27646704650536,-0.11255293409301072,500,408
1721238994823,162,35.39143132256558,42.9,-63.9001283489575,-0.127800256697915,500,227
1721244680545,163,42.97318834672696,37.6,-28.940975222133417,-0.08877599761390619,326,277
1721245689970,164,37.85814293188648,44.0,-71.63700618898294,-0.1432740123779659,500,268
1721246699739,165,46.736361522485964,34.1,-84.2008429613731,-0.1684016859227462,500,
1721247709306,166,34.667846414745476,43.4,-95.17535610662442,-0.19035071221324884,500,341
1721248635805,167,43.17681760089243,37.4,-33.57590434046575,-0.07315011838881426,459,102
1721249265574,168,37.17083987053885,30.4,-33.535754953191166,-0.10748639408074091,312,219
1721250274789,169,30.238253596485382,36.6,-62.84772073248566,-0.12569544146497133,500,271
1721251171306,170,37.932395007030976,44.9,-85.20792592732016,-0.19190974307954992,444,395
1721252181022,171,44.94042660204396,33.7,-82.34626153213631,-0.16469252306427262,500,165
1721253190462,172,32.73255630047862,44.1,-159.21606038425648,-0.31843212076851296,500,
1721254199740,173,42.409833398698964,37.2,-38.9624028868937,-0.0779248057737874,500,86
