Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1721518659244,1,24.64103565053419,38.6,-463.00167021866196,-0.9260033404373239,500,
1721519703317,2,24.28883187368784,36.1,-392.436811470205,-0.78487362294041,500,
1721520748774,3,24.324338429851156,35.2,-368.63066106539367,-0.7372613221307873,500,
1721521793158,4,24.196773757385166,32.9,-294.8454049517774,-0.5896908099035548,500,
1721522837325,5,24.001184829106226,31.9,-264.75454977849097,-0.5295090995569819,500,
1721523881826,6,23.905274008111547,38.2,-476.6374204478053,-0.9532748408956107,500,
1721524925556,7,23.880126724511427,30.4,-217.86487748914232,-0.43572975497828464,500,
1721525972161,8,23.85703606490355,36.1,-409.2670720452374,-0.8185341440904748,500,
1721527017491,9,23.775119003604456,36.8,-433.3996814021895,-0.8667993628043791,500,
1721528062312,10,23.804980538124507,35.5,-390.7685574827496,-0.7815371149654992,500,
1721534133256,11,23.824055172935413,35.5,-336.9110243292643,-0.6738220486585286,500,
1721535177287,12,24.584483255990957,37.5,-441.69036890669344,-0.8833807378133869,500,
1721536222059,13,24.05924625677189,36.1,-404.13819924463104,-0.808276398489262,500,
1721537266510,14,23.82701574751931,37.9,-468.9434993722697,-0.9378869987445394,500,
1721538311013,15,23.97624619672596,30.1,-211.3000811235363,-0.4226001622470726,500,
1721539356164,16,23.73267727556754,29.9,-204.63815946452394,-0.40927631892904787,500,
1721540399937,17,23.805318044707683,33.6,-328.4732268394617,-0.6569464536789233,500,
1721541445435,18,23.700537232420153,34.7,-365.55754817135494,-0.7311150963427099,500,
1721542490039,19,23.77000457869987,31.7,-265.65412011820223,-0.5313082402364044,500,
1721543534460,20,23.77946327396769,32.9,-305.4633733953584,-0.6109267467907168,500,
1721549604953,21,23.762598959163114,36.0,-350.2580784105169,-0.7005161568210337,500,
1721550650581,22,24.659361807810846,30.2,-190.43996462486618,-0.38087992924973235,500,
1721551694979,23,24.333153209437942,31.7,-246.21926407030702,-0.49243852814061406,500,
1721552739970,24,24.245386543855467,36.1,-393.6048787244038,-0.7872097574488076,500,
1721553784773,25,24.376962604429416,33.6,-307.32167962528524,-0.6146433592505705,500,
1721554831418,26,24.521365398704685,34.0,-317.4002123805735,-0.6348004247611471,500,
1721555875376,27,24.525259679902117,39.1,-485.58145212980753,-0.971162904259615,500,
1721556920395,28,24.564054007487456,30.4,-192.81558763448476,-0.3856311752689695,500,
1721557964859,29,24.643142493362618,34.4,-323.7633098383692,-0.6475266196767384,500,
1721559010296,30,24.691476760776464,39.6,-493.347644074232,-0.986695288148464,500,
1721565081671,31,24.975253147815046,36.2,-316.61385051246697,-0.633227701024934,500,
1721566125623,32,25.923817702827947,35.0,-308.7998376427036,-0.6175996752854073,500,
1721567169756,33,25.61890880971997,37.4,-396.2365851463519,-0.7924731702927038,500,
1721568214930,34,25.594018613851347,37.8,-414.6935511248306,-0.8293871022496612,500,
1721569259259,35,25.33472974392329,34.6,-310.4737824659313,-0.6209475649318627,500,
1721570303783,36,25.24991324037559,38.5,-441.35545427118984,-0.8827109085423797,500,
1721571348015,37,25.19173623129464,39.2,-438.30135660662484,-0.8766027132132497,500,
1721572392130,38,27.39419972110399,34.0,-228.71312179770672,-0.45742624359541345,500,
1721573437519,39,27.284266850785155,40.7,-452.0450763665992,-0.9040901527331984,500,
1721574481168,40,26.912781102132417,36.4,-313.14903624695864,-0.6262980724939173,500,
1721580552020,41,27.18215017521846,42.0,-466.35852784818235,-0.9327170556963646,500,
1721581596603,42,27.357890755849535,37.7,-357.1591029628349,-0.7143182059256697,500,
1721582151762,43,26.81040747329309,41.7,-266.17816806060165,-1.000669804739104,266,
1721583196420,44,26.578418552767786,39.7,-442.52425364191254,-0.8850485072838251,500,
1721584240249,45,26.208102200185436,39.4,-440.74654188968196,-0.881493083779364,500,
1721585283125,46,26.168595348892975,38.2,-405.7898697779415,-0.8115797395558829,500,
1721586327865,47,26.06329463318457,31.4,-182.23107163259672,-0.36446214326519344,500,
1721587373112,48,25.929843199308202,39.8,-466.52969966739516,-0.9330593993347903,500,
1721588417635,49,25.77374292398379,31.0,-176.84465672655494,-0.3536893134531099,500,
1721589462154,50,25.660214123462385,40.3,-493.5365059073211,-0.9870730118146422,500,
1721595532362,51,25.377434811110454,40.0,-465.4196244987803,-0.9308392489975607,500,
1721596577194,52,25.94954344091013,38.9,-450.18342008601167,-0.9003668401720233,500,
1721597622112,53,25.00731822343485,35.3,-348.45470056146587,-0.6969094011229318,500,
1721598666634,54,24.723298364312846,35.2,-352.7450423928413,-0.7054900847856826,500,
1721599710288,55,24.54502210016934,30.9,-214.24876010120948,-0.428497520202419,500,
1721600754531,56,24.468740451980096,34.3,-331.8339126692977,-0.6636678253385955,500,
1721601799732,57,24.32805678101793,32.8,-284.69118398350224,-0.5693823679670045,500,
1721602844042,58,24.20921430941722,32.7,-282.929923215571,-0.5658598464311421,500,
1721603888929,59,24.175789617439563,36.2,-401.6249575725655,-0.803249915145131,500,
1721604933501,60,24.182895507681494,30.7,-219.0327662711759,-0.43806553254235175,500,
1721611004510,61,24.027514057679575,34.5,-315.30250410425697,-0.630605008208514,500,
1721612048987,62,25.192322778208343,37.3,-423.0229710781863,-0.8460459421563725,500,
1721613095239,63,24.150669699544153,31.0,-231.56807165816312,-0.46313614331632624,500,
1721614140604,64,23.870402793878483,30.3,-215.2496989930705,-0.430499397986141,500,
1721615184452,65,23.56127457578189,34.6,-363.25134941059315,-0.7265026988211863,500,
1721616228930,66,23.489903886404292,29.8,-206.88963473510222,-0.41377926947020444,500,
1721617274120,67,23.552626041693415,28.7,-172.24219087884887,-0.34448438175769774,500,
1721618317659,68,23.496726400054403,34.5,-368.2209515586864,-0.7364419031173728,500,
1721619360927,69,23.288622338448413,29.2,-193.1335767862856,-0.3862671535725712,500,
1721620404356,70,23.337338420781734,32.2,-294.9297964277905,-0.589859592855581,500,
1721626474428,71,23.476406587415873,35.9,-380.99382127970216,-0.7619876425594043,500,
1721627518112,72,24.801226222064308,30.4,-203.77611721201163,-0.4075522344240233,500,
1721628562392,73,23.927379702300424,37.1,-440.23801768433,-0.8804760353686599,500,
1721629607693,74,23.74682987313706,29.1,-178.4345682107732,-0.3568691364215464,500,
1721630652030,75,23.866152176354014,36.1,-414.3873441327686,-0.8287746882655371,500,
1721631696213,76,23.568675848248866,35.9,-410.0273817704948,-0.8200547635409896,500,
1721632739417,77,23.633811451138733,34.2,-351.57739168769365,-0.7031547833753873,500,
1721633783405,78,23.74270840086506,31.2,-249.7654965976526,-0.4995309931953052,500,
1721634827221,79,23.532058657144667,37.9,-471.9159023519494,-0.9438318047038988,500,
1721635870285,80,23.81333565391451,35.1,-374.3120652673086,-0.7486241305346172,500,
1721641939456,81,23.934124761872226,29.2,-127.36714931659591,-0.2547342986331918,500,
1721642983686,82,25.819793748057897,36.9,-380.29975375667294,-0.7605995075133459,500,
1721644027162,83,25.26265475168297,35.0,-331.9839113620067,-0.6639678227240134,500,
1721645071969,84,24.94567809400166,36.3,-384.06022075414995,-0.7681204415083,500,
1721646116263,85,24.98220753273051,39.6,-491.57748859308344,-0.9831549771861668,500,
1721647160107,86,25.009235435755034,34.4,-318.0941674483325,-0.6361883348966649,500,
1721648203841,87,24.64835469529019,35.1,-341.1571831817684,-0.6823143663635368,500,
1721649247114,88,24.788776892915568,38.7,-449.54762127786734,-0.8990952425557347,500,
1721650291482,89,25.79142570713538,38.4,-430.9030662204927,-0.8618061324409854,500,
1721651334906,90,25.421281586399374,30.8,-185.6516543751475,-0.371303308750295,500,
1721657404938,91,25.161616462684588,33.9,-233.26171949255857,-0.4665234389851171,500,
1721657630410,92,27.978615725973942,42.5,-108.31013886277259,-1.0028716561367832,108,
1721658674633,93,27.18634486780175,33.3,-197.3887134553487,-0.3947774269106974,500,
1721659281985,94,27.407858240124153,41.8,-284.93611543904206,-0.9791619087252305,291,
1721660325340,95,26.738278194421525,37.4,-356.1301047538953,-0.7122602095077906,500,
1721661369886,96,26.64840527188173,34.7,-255.16124043901303,-0.510322480878026,500,
1721662413639,97,27.655913465787265,36.2,-301.58239947013664,-0.6031647989402733,500,
1721663457726,98,26.85401520346307,33.1,-208.90852843464475,-0.4178170568692895,500,
1721664502548,99,26.820728522059284,36.7,-331.26093245068625,-0.6625218649013725,500,
1721665546761,100,26.727915800122872,37.1,-344.58455985498375,-0.6891691197099675,500,
1721666590472,101,26.667454916136897,33.7,-229.4536816199995,-0.458907363239999,500,
1721672660956,102,26.854777599495705,40.6,-440.8071508884236,-0.8816143017768472,500,
1721673017889,103,27.75492123011127,42.4,-170.68394408904302,-0.998151719818965,171,
1721674063051,104,27.129496302189388,37.1,-347.69042951341896,-0.6953808590268379,500,
1721675107398,105,26.473570821392663,39.8,-454.08577070407364,-0.9081715414081473,500,
1721676151851,106,25.947089079490908,31.1,-173.856293128805,-0.34771258625761,500,
1721677195606,107,25.821214344482343,38.4,-424.09697171902286,-0.8481939434380458,500,
1721678240918,108,25.5890605199007,38.9,-448.95082731149824,-0.8979016546229965,500,
1721679286139,109,25.354607056691577,35.6,-344.32055172223914,-0.6886411034444783,500,
1721680329592,110,25.077827460766677,39.5,-480.9182339658064,-0.9618364679316128,500,
1721681373231,111,25.056892576309373,33.2,-276.64476186890266,-0.5532895237378054,500,
1721682417792,112,24.9692037972902,37.3,-417.12828034070105,-0.8342565606814021,500,
1721688488196,113,24.79824062192685,36.6,-364.52774085681835,-0.7290554817136367,500,
1721689533165,114,25.35924660220995,35.6,-358.5182412470725,-0.7170364824941451,500,
1721690578279,115,24.62289771473656,30.2,-193.21075328789868,-0.3864215065757974,500,
1721691623412,116,24.18606591517067,30.0,-195.5702740039404,-0.3911405480078808,500,
1721692667777,117,23.99415290382249,33.1,-302.0421105437476,-0.6040842210874952,500,
1721693711888,118,23.922630102560593,37.7,-459.42782744137054,-0.9188556548827411,500,
1721694756364,119,23.82054702275215,32.2,-279.3175755451626,-0.5586351510903251,500,
1721695801279,120,23.917994328543614,33.7,-331.7891721949407,-0.6635783443898814,500,
1721696846506,121,23.670324699219616,31.7,-266.1010557681416,-0.5322021115362832,500,
1721697891133,122,23.969719722653554,34.2,-352.105513865704,-0.704211027731408,500,
1721703964374,123,23.61912777567267,30.2,-181.1427948858688,-0.3622855897717376,500,
1721705008857,124,24.56202719438361,34.3,-339.6444849375565,-0.679288969875113,500,
1721706053709,125,23.96141434945889,36.7,-434.5134156535804,-0.8690268313071609,500,
1721707096678,126,23.48214634592383,32.3,-295.43362365268035,-0.5908672473053607,500,
1721708141904,127,23.466566180587137,33.2,-328.5207970921254,-0.6570415941842508,500,
1721709186181,128,23.27312188579156,32.8,-317.6466465251805,-0.635293293050361,500,
1721710231255,129,23.214804330235438,37.6,-478.52923308034775,-0.9570584661606955,500,
1721711275593,130,23.158532070449198,30.8,-251.55619961803114,-0.5031123992360623,500,
1721712320436,131,23.272243751210095,35.1,-394.39979718567616,-0.7887995943713523,500,
1721713363591,132,23.20369787139115,36.7,-446.67216956066017,-0.8933443391213204,500,
1721719432893,133,23.303227805145184,29.5,-155.44191398403612,-0.31088382796807223,500,
1721720482995,134,25.225900449691757,33.2,-291.2416302574762,-0.5824832605149524,500,
1721721532930,135,24.166742662174425,38.5,-473.78593735754254,-0.9475718747150851,500,
1721722581832,136,24.307360830535732,35.7,-383.4977757312763,-0.7669955514625526,500,
1721723628588,137,23.85212435844811,36.0,-392.85803890720763,-0.7857160778144152,500,
1721724676716,138,24.324481365663665,36.7,-409.0096681493254,-0.8180193362986509,500,
1721725726997,139,24.49994974517724,31.1,-217.50118915499633,-0.43500237830999267,500,
1721726776577,140,24.637551306035242,32.1,-246.07170249458068,-0.49214340498916137,500,
1721727825485,141,24.63719523449873,39.5,-492.1738520404655,-0.984347704080931,500,
1721728873914,142,24.58477711769991,38.0,-451.4716447539555,-0.902943289507911,500,
1721734950392,143,24.595975329960556,33.6,-256.35380123087765,-0.5127076024617553,500,
1721736001096,144,26.101922935748675,40.5,-486.19756159606726,-0.9723951231921345,500,
1721737052587,145,25.850810116202418,36.2,-348.55757900848226,-0.6971151580169646,500,
1721738103897,146,25.873966135701608,32.1,-210.830563033553,-0.421661126067106,500,
1721739151737,147,25.722435271920652,33.4,-255.77748571760702,-0.511554971435214,500,
1721740202720,148,25.825761941052782,33.2,-245.17240454095077,-0.49034480908190153,500,
1721741254426,149,25.7597898800298,35.7,-325.2548562037442,-0.6505097124074884,500,
1721742305959,150,25.9642720329473,33.2,-238.58749207083864,-0.47717498414167725,500,
1721743357554,151,26.09984909608417,40.8,-490.44181759216565,-0.9808836351843313,500,
1721744408906,152,26.24799708245044,35.1,-290.384720379592,-0.580769440759184,500,
1721750486196,153,26.944320379237297,41.8,-470.4881051360759,-0.9409762102721517,500,
1721751536842,154,27.06388180746132,38.0,-378.34160636918074,-0.7566832127383615,500,
1721752586789,155,26.521937482435252,33.5,-239.07315665284887,-0.47814631330569773,500,
1721753635660,156,26.245047255741667,31.3,-171.32758857446436,-0.34265517714892874,500,
1721754682934,157,26.102792930511217,33.2,-237.90655824325884,-0.4758131164865177,500,
1721755730296,158,26.05221798838009,36.3,-344.1633751022452,-0.6883267502044904,500,
1721756774607,159,25.949924159180718,32.1,-208.60650564951044,-0.4172130112990209,500,
1721757820145,160,25.600685978062522,32.8,-242.6790172706623,-0.48535803454132465,500,
1721758865967,161,25.44052560246996,38.4,-435.87311567799156,-0.8717462313559832,500,
1721759910619,162,25.274120310695906,33.4,-273.1929678220591,-0.5463859356441182,500,
