Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1721769631489,1,24.460216565977646,38.3,-407.93124340700797,-0.815862486814016,500,
1721770637468,2,27.382114264033948,32.7,-151.91402043872546,-0.3038280408774509,500,
1721771643814,3,28.269306017746217,39.7,-383.62585224620676,-0.7672517044924135,500,
1721772649950,4,28.070684619172248,40.2,-403.773146111154,-0.807546292222308,500,
1721773657577,5,27.831124971881998,32.9,-144.36042193222923,-0.28872084386445845,500,
1721774247217,6,29.49932119456914,43.1,-287.1285675722319,-0.9799609814751941,293,
1721775253167,7,27.761511190069108,39.6,-395.78321348080146,-0.791566426961603,500,
1721776259253,8,27.767626698299946,35.1,-226.27846901134632,-0.45255693802269265,500,
1721777266857,9,28.668949211732432,42.4,-464.706967214505,-0.9294139344290101,500,
1721778273143,10,28.79668762019663,33.8,-168.89669024419365,-0.3377933804883873,500,
1721784195596,11,28.84125887006912,38.6,-252.2191477835433,-0.5044382955670866,500,
1721785201367,12,30.6265956525884,25.3,-156.46470859133973,-0.31292941718267947,500,
1721786210534,13,29.750966737600578,36.7,-249.02643518765154,-0.4980528703753031,500,
1721787216623,14,28.793710817045863,41.4,-398.3806284247628,-0.7967612568495256,500,
1721788222576,15,29.526827094794797,39.9,-355.12578385761435,-0.7102515677152287,500,
1721789228843,16,28.90404359335319,35.5,-219.42044255409888,-0.43884088510819774,500,
1721790237379,17,29.128613892476586,37.2,-262.8176381853726,-0.5256352763707451,500,
1721791243427,18,28.99087418253953,40.2,-387.11770948284413,-0.7742354189656883,500,
1721792249401,19,28.499673617361992,37.0,-281.5555434428041,-0.5631110868856082,500,
1721793255281,20,28.74789684333321,39.8,-375.7496457894374,-0.7514992915788749,500,
1721799289045,21,27.75313396541623,40.8,-336.46197343697236,-0.6729239468739447,500,
1721800295191,22,30.6967285824579,37.0,-245.3637299795947,-0.49072745995918937,500,
1721801301497,23,28.82971282562725,41.3,-432.8006175051284,-0.8656012350102568,500,
1721802307147,24,27.411348958666647,41.0,-439.87088853950246,-0.8797417770790049,500,
1721803314917,25,27.889589739446315,38.8,-359.3943784456485,-0.718788756891297,500,
1721804320940,26,27.96787157407649,42.9,-492.73329125143806,-0.9854665825028761,500,
1721805326980,27,28.266378612895814,40.6,-399.9903899389662,-0.7999807798779324,500,
1721806333008,28,28.963008995274716,37.6,-287.9624932733798,-0.5759249865467596,500,
1721807338935,29,28.621262486662125,34.5,-173.35430355702286,-0.3467086071140457,500,
1721808347616,30,29.915781813606262,43.4,-453.315253334205,-0.90663050666841,500,
1721814380160,31,30.208661657006264,25.0,-297.63977524247366,-0.5952795504849473,500,
1721815386273,32,34.52862883061552,40.2,-251.08887815090458,-0.5021777563018092,500,
1721816392248,33,32.16388144348417,25.2,-232.84464062028667,-0.46568928124057335,500,
1721817400129,34,32.367416560874275,26.0,-194.23039539843109,-0.3884607907968622,500,
1721818406364,35,31.288936409095754,44.6,-426.570264090276,-0.853140528180552,500,
