Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1722546365581,1,24.105083312367775,36.0,-367.70677918060375,-0.7354135583612075,500,
1722547374863,2,25.16237595969441,30.8,-187.21254707827597,-0.37442509415655195,500,
1722548384094,3,25.396640745905277,30.6,-142.84367326159997,-0.28568734652319994,500,
1722549393678,4,27.306228027840653,34.4,-208.30191436502872,-0.41660382873005747,500,
1722550402683,5,28.520641850779754,35.6,-216.07017229809531,-0.4321403445961906,500,
1722551411610,6,29.752525331081696,41.1,-373.2328455718087,-0.7464656911436174,500,
1722552420777,7,29.63999642832117,39.0,-333.7134812546939,-0.6674269625093877,500,
1722553430166,8,27.658787529411846,38.2,-387.90918465666425,-0.7758183693133285,500,
1722554439520,9,25.504639377829683,31.5,-190.33147173905246,-0.3806629434781049,500,
1722555448605,10,25.707159809854495,38.0,-410.65343389453307,-0.8213068677890661,500,
1722561485724,11,25.5347077644711,34.1,-263.46877116197584,-0.5269375423239516,500,
1722562494781,12,25.447274218324175,30.8,-167.0138801421464,-0.3340277602842928,500,
1722563503883,13,26.47268078387488,31.6,-151.21689403951268,-0.3024337880790254,500,
1722564513962,14,27.766049551737893,38.4,-353.5733895084796,-0.7071467790169591,500,
1722565523038,15,28.200431538582187,40.3,-400.37940811249535,-0.8007588162249907,500,
1722566532066,16,28.10727980165276,33.2,-166.48482072755064,-0.3329696414551013,500,
1722567541220,17,29.224812969688532,37.0,-213.36497055639953,-0.42672994111279905,500,
1722568550603,18,32.600194819943525,43.4,-329.2256609338608,-0.6584513218677216,500,
1722569559808,19,31.62952656896517,25.7,-155.00807420641604,-0.3100161484128321,500,
1722570568706,20,31.11275160516027,36.4,-185.20250043416027,-0.37040500086832057,500,
1722576407123,21,31.60974608358144,40.2,-167.6880456841909,-0.3353760913683818,500,
1722577416406,22,44.18404861581252,34.6,-308.11815254008894,-0.6162363050801779,500,
1722578425512,23,43.67217008717468,36.6,-245.3320248856714,-0.49066404977134276,500,
1722579148167,24,44.43493843648641,30.3,-346.4327665709714,-0.9676892920976855,358,
1722580157231,25,45.58418405511171,35.9,-314.57885163630084,-0.6291577032726017,500,
1722581166680,26,45.52228472053129,34.5,-358.4797846478445,-0.716959569295689,500,
1722582175948,27,45.61765162547161,31.6,-452.27505100150364,-0.9045501020030072,500,
1722583187930,28,43.13904211565338,37.4,-123.00954505119529,-0.2460190901023906,500,133
1722584199584,29,31.79365868400597,40.7,-188.57319703696166,-0.3771463940739233,500,
1722585210329,30,38.010685629105,32.9,-74.80012049637739,-0.1496002409927548,500,369
1722591246431,31,31.14572951316458,42.0,-219.12370440545527,-0.43824740881091057,500,
1722592255964,32,37.775998212143115,30.7,-265.4031073976668,-0.5308062147953336,500,
1722593264966,33,41.70672646200859,34.6,-179.62954395217136,-0.35925908790434274,500,
1722594274286,34,36.810880683596494,25.8,-275.3614713817638,-0.5507229427635276,500,
1722595283725,35,34.79686020394028,40.9,-80.33308898033046,-0.1606661779606609,500,352
1722596292601,36,42.89246700997947,33.3,-339.0552043029844,-0.6781104086059688,500,
1722597301792,37,41.13138010348847,33.7,-134.61318636053088,-0.26922637272106176,500,
1722598310755,38,37.55165353990526,25.2,-267.7809175100832,-0.5355618350201664,500,
1722599319777,39,30.561060117506127,25.3,-141.12290824822423,-0.2822458164964485,500,
1722600329211,40,29.91774723434242,35.9,-160.6806973791058,-0.32136139475821157,500,
1722606365531,41,30.036312079918673,25.0,-186.312858085811,-0.372625716171622,500,
1722607374381,42,29.360476751689006,40.9,-406.0271061918461,-0.8120542123836921,500,
1722608383767,43,28.50115050490225,41.5,-386.1106260128625,-0.772221252025725,500,
1722609393215,44,29.864488824175492,36.1,-226.41427276312044,-0.45282854552624086,500,
1722610402713,45,28.709485051244037,40.8,-413.0428638586672,-0.8260857277173345,500,
1722611411963,46,28.240685616543658,42.6,-477.90350476102725,-0.9558070095220546,500,
1722612421303,47,28.329794408193926,40.6,-409.9917169943898,-0.8199834339887796,500,
1722613430275,48,28.417157346738165,33.8,-187.71082442616347,-0.37542164885232693,500,
1722614439658,49,28.145624549627215,33.8,-189.75524318053306,-0.3795104863610661,500,
