Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1722840881382,1,22.89026579852026,30.7,-206.67798599935946,-0.41335597199871893,500,
1722841887952,2,25.8208743444062,38.7,-411.98186014202224,-0.8239637202840445,500,
1722842894509,3,26.827225648969176,37.5,-348.26600803401186,-0.6965320160680237,500,
1722843236385,4,26.97546283298016,41.9,-169.8228081985793,-0.9989576952857606,170,
1722844244044,5,26.66810053433438,32.6,-176.46150064658636,-0.3529230012931727,500,
1722845022945,6,27.447533145920275,42.4,-377.9144098691826,-0.9765230229177845,387,
1722846028970,7,26.885595760988394,36.1,-280.1385968543186,-0.5602771937086373,500,
1722847035221,8,28.030825697037088,37.9,-341.0409238965241,-0.6820818477930481,500,
1722848041147,9,27.911816831190244,36.4,-266.9352093700691,-0.5338704187401382,500,
1722849049093,10,28.513163735239367,36.1,-261.31966769575916,-0.5226393353915183,500,
1722855082344,11,28.173098529504642,35.0,-210.86362096494514,-0.4217272419298903,500,
1722856088654,12,36.040086749926814,25.2,-259.3412896709859,-0.5186825793419717,500,
1722857094790,13,30.71091047078118,37.8,-254.9177596164719,-0.5098355192329438,500,
1722858102850,14,30.633880212939353,25.3,-157.54228758013133,-0.31508457516026267,500,
1722859108897,15,29.562534612628415,36.4,-232.9412450925909,-0.4658824901851818,500,
1722860114998,16,29.127944842062128,37.8,-280.88118737984826,-0.5617623747596965,500,
1722861121298,17,29.3247760908716,40.1,-342.5518427184995,-0.685103685436999,500,
1722862130346,18,30.280421605607827,37.9,-261.1952923996571,-0.5223905847993142,500,
1722863136815,19,29.900724280312208,44.1,-466.3468984557827,-0.9326937969115654,500,
1722864143013,20,29.898103899098878,40.5,-372.41762542853337,-0.7448352508570667,500,
1722870176191,21,28.923875614541032,40.9,-352.2294623434229,-0.7044589246868458,500,
1722871184357,22,37.72092171463106,44.5,-328.5400046680629,-0.6570800093361259,500,
1722872190154,23,32.59007646664412,27.3,-155.0153096616185,-0.310030619323237,500,
1722873195994,24,31.87685721345975,26.2,-165.93236900183817,-0.33186473800367633,500,
1722874202006,25,31.239059712253265,43.1,-397.2095456539179,-0.7944190913078358,500,
1722875209862,26,31.236420926589673,25.1,-187.76588711208126,-0.3755317742241625,500,
1722876215985,27,30.30448153778004,43.1,-428.6639461681386,-0.8573278923362772,500,
1722877221862,28,30.436491357021165,25.1,-183.53702239603908,-0.36707404479207817,500,
1722878227656,29,30.82689535660699,37.5,-237.7231862889628,-0.4754463725779256,500,
1722879236099,30,30.08040309228198,39.7,-313.26900183907355,-0.6265380036781472,500,
1722882572202,31,30.442185109665047,41.0,-342.6998974309262,-0.6853997948618524,500,
1722883578384,32,47.70899762204176,39.0,-107.61978420710282,-0.21523956841420566,500,218
1722884584651,33,33.817799149205285,27.0,-165.96664821768218,-0.33193329643536434,500,
1722885592838,34,30.598185722132747,35.9,-196.93965269996673,-0.39387930539993343,500,
1722886598857,35,30.22769632458548,43.0,-424.58579448776425,-0.8491715889755285,500,
1722887604849,36,30.162949926285304,39.2,-304.3775831957677,-0.6087551663915355,500,
1722888611104,37,29.829214990833407,38.1,-279.50321358801295,-0.5590064271760259,500,
1722889618962,38,29.41256051936331,39.6,-322.53732935239674,-0.6450746587047935,500,
1722890624948,39,30.066515296116346,35.8,-202.47211616776406,-0.4049442323355281,500,
1722891630935,40,29.50137066909706,35.0,-187.86656684141406,-0.3757331336828281,500,
1722897297189,41,29.496941437567568,38.4,-296.7482557108245,-0.5934965114216489,500,
1722898305090,42,47.238950803659215,35.0,-131.3028230907261,-0.2626056461814522,500,356
1722899310958,43,33.08849393908577,26.7,-164.6571556599786,-0.3293143113199572,500,
1722900316950,44,31.07518010931944,25.8,-145.4478313257938,-0.2908956626515876,500,
1722901322903,45,29.872776748710706,40.5,-359.16748212745983,-0.7183349642549197,500,
1722902331559,46,29.48120528422079,38.3,-297.1837454807293,-0.5943674909614587,500,
1722903338453,47,29.135649723401016,39.0,-328.2749178628994,-0.6565498357257987,500,
1722904345246,48,29.214076175420207,41.8,-402.028903272618,-0.804057806545236,500,
1722905351989,49,29.456675849285595,42.6,-449.85493500314163,-0.8997098700062832,500,
1722906360324,50,28.525436543958207,41.2,-414.3610651206933,-0.8287221302413866,500,
1722909693639,51,28.624367973839412,35.3,-217.24122894784927,-0.4344824578956985,500,
1722910700115,52,44.35816173527064,36.8,-102.49030377869144,-0.20498060755738287,500,193
1722911706708,53,31.91569373229136,26.4,-136.44695886527145,-0.2728939177305429,500,
1722912712793,54,30.277222872947007,25.0,-151.4195740258222,-0.30283914805164436,500,
1722913721815,55,29.252788849351393,40.9,-387.15837238326105,-0.7743167447665221,500,
1722914727617,56,28.829075614720328,42.3,-441.0101597665725,-0.882020319533145,500,
1722915733958,57,28.937242487165427,35.2,-225.01100418377533,-0.45002200836755063,500,
1722916740673,58,28.27668398177173,39.8,-383.22678120039984,-0.7664535624007996,500,
1722917748656,59,27.981028757050737,39.7,-367.6860354630261,-0.7353720709260522,500,
1722918754724,60,29.53470237304207,42.0,-429.29488409997,-0.8585897681999399,500,
1722924785902,61,28.867680805219926,43.4,-447.7507933262167,-0.8955015866524334,500,
1722925791922,62,45.90367193204467,38.8,-109.29636876052915,-0.2185927375210583,500,182
1722926800142,63,32.96391930082581,25.1,-195.46831438266773,-0.39093662876533547,500,
1722927806367,64,30.361201081818265,43.7,-454.3320943481095,-0.908664188696219,500,
1722928812620,65,29.867747567475362,40.4,-348.5619194532032,-0.6971238389064064,500,
1722929818535,66,29.679735964408515,41.0,-383.0300597452944,-0.7660601194905888,500,
1722930826799,67,29.50348171517423,41.0,-391.0202962309267,-0.7820405924618534,500,
1722931832665,68,29.882615096250056,44.5,-463.7889131797687,-0.9275778263595374,500,
1722932838696,69,30.48153949315228,44.9,-477.504317022264,-0.955008634044528,500,
1722933844986,70,30.832091619759886,37.1,-200.53442254811415,-0.4010688450962283,500,
1722939866333,71,31.593157549296052,25.1,-271.5692393163406,-0.5508503840088045,493,
1722940872063,72,50.3052671982501,39.9,-96.64528970917218,-0.19329057941834435,500,230
1722941878328,73,36.30942906546974,25.8,-293.281587543505,-0.58656317508701,500,
1722942884457,74,33.65469384153437,39.5,-195.97809884679566,-0.3919561976935913,500,
1722943892903,75,33.5062330254853,40.4,-245.53120243759335,-0.4910624048751867,500,
1722944898840,76,32.926425582181565,43.7,-356.0532113592987,-0.7121064227185974,500,
1722945904737,77,32.66918930890512,39.2,-194.40859613444638,-0.3888171922688928,500,
1722946910716,78,33.57499073681627,28.2,-187.63135167166087,-0.37526270334332174,500,
1722947919421,79,33.59590158861505,26.0,-249.84564363054355,-0.4996912872610871,500,
1722948925528,80,33.9195500345271,26.8,-223.9376381776004,-0.4478752763552008,500,
1722953886922,81,33.89075051443161,26.6,-315.2351543499524,-0.6304703086999047,500,
1722954893301,82,52.717668581863904,44.2,-110.3173715300274,-0.2206347430600548,500,189
1722955901870,83,39.461686034457635,44.9,-216.26593576870246,-0.4325318715374049,500,
1722956908244,84,37.54833852871587,32.0,-185.56282276359914,-0.3711256455271983,500,
1722957914984,85,37.10638884665478,27.4,-303.5172966278206,-0.6070345932556412,500,
1722958921294,86,36.61548903757351,43.8,-227.28971842324412,-0.45457943684648827,500,
1722959929288,87,36.88827957589896,26.9,-321.51655538807137,-0.6430331107761428,500,
1722960935304,88,35.588458322487945,45.0,-320.1306372938413,-0.6402612745876826,500,
1722961941182,89,35.389085450485325,26.4,-294.8008042670342,-0.5896016085340684,500,
1722962947003,90,35.608210543863606,25.0,-337.35510194710605,-0.6747102038942121,500,
1722968474751,91,34.5674089993946,27.9,-287.5904892292955,-0.575180978458591,500,
1722969482212,92,52.18858461411709,39.4,-157.34821347871463,-0.3146964269574293,500,437
1722970488266,93,38.49936930729151,29.4,-247.6323088654726,-0.4952646177309452,500,
1722971494319,94,35.80625933583451,42.0,-219.84057683981882,-0.43968115367963767,500,
1722972500787,95,34.83990369763286,41.4,-215.7594469297099,-0.43151889385941977,500,
1722973509731,96,35.22931794861837,40.5,-192.71751922602053,-0.3854350384520411,500,
1722974515822,97,34.54069756811951,26.2,-256.72659096715097,-0.5134531819343019,500,
1722975521754,98,33.853146744740386,25.1,-275.3653700835779,-0.5507307401671557,500,
1722976527799,99,32.78934902560972,39.7,-207.54967172951734,-0.4150993434590347,500,
1722977535956,100,33.63811867702808,27.7,-188.59031333287086,-0.3771806266657417,500,
1722982225939,101,33.54455566918094,27.4,-265.5350183989367,-0.5310700367978733,500,
1722983151620,102,49.17565603372745,38.2,-135.34251406265847,-0.29422285665795317,460,411
1722984157575,103,38.01048087729085,30.6,-179.98934380681487,-0.3599786876136297,500,
1722985165320,104,34.703926737515864,43.0,-290.6051840991933,-0.5812103681983867,500,
1722986171255,105,33.840982231435966,42.9,-312.8451512606021,-0.6256903025212042,500,
1722987177216,106,33.37825159003616,26.1,-213.25500607965552,-0.42651001215931106,500,
